"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00016443,-0.00016443,-3.7195e-020,1.5173,1,0,49.5,49.5,-1
-2.0038e-005,-2.0038e-005,8.3755e-007,1.5173,1,0.00099999,49.5,49.5,-0.999
0.00012436,0.00012436,1.6751e-006,1.5173,1,0.002,49.5,49.5,-0.998
0.00026876,0.00026876,2.5127e-006,1.5173,1,0.003,49.5,49.5,-0.997
0.00041316,0.00041316,3.3502e-006,1.5173,1,0.004,49.5,49.5,-0.996
0.00055756,0.00055756,4.1878e-006,1.5173,1,0.005,49.5,49.5,-0.995
0.00070195,0.00070195,5.0253e-006,1.5173,1,0.006,49.5,49.5,-0.994
0.00084636,0.00084636,5.8629e-006,1.5173,1,0.007,49.5,49.5,-0.993
0.00099076,0.00099076,6.7005e-006,1.5173,1,0.008,49.5,49.5,-0.992
0.0011352,0.0011352,7.538e-006,1.5173,1,0.009,49.5,49.5,-0.991
0.0012795,0.0012795,8.3756e-006,1.5173,1,0.01,49.5,49.5,-0.99
0.0014239,0.0014239,9.2131e-006,1.5173,1,0.011,49.5,49.5,-0.989
0.0015684,0.0015684,1.0051e-005,1.5173,1,0.012,49.5,49.5,-0.988
0.0017127,0.0017127,1.0888e-005,1.5173,1,0.013,49.5,49.5,-0.987
0.0018571,0.0018571,1.1726e-005,1.5173,1,0.014,49.5,49.5,-0.986
0.0020015,0.0020015,1.2563e-005,1.5173,1,0.015,49.5,49.5,-0.985
0.0021459,0.0021459,1.3401e-005,1.5173,1,0.016,49.5,49.5,-0.984
0.0022903,0.0022903,1.4239e-005,1.5173,1,0.017,49.5,49.5,-0.983
0.0024347,0.0024347,1.5076e-005,1.5173,1,0.018,49.5,49.5,-0.982
0.0025791,0.0025791,1.5914e-005,1.5173,1,0.019,49.5,49.5,-0.981
0.0027235,0.0027235,1.6751e-005,1.5173,1,0.02,49.5,49.5,-0.98
0.0028679,0.0028679,1.7589e-005,1.5173,1,0.021,49.5,49.5,-0.979
0.0030123,0.0030123,1.8426e-005,1.5173,1,0.022,49.5,49.5,-0.978
0.0031567,0.0031567,1.9264e-005,1.5173,1,0.023,49.5,49.5,-0.977
0.0033011,0.0033011,2.0101e-005,1.5173,1,0.024,49.5,49.5,-0.976
0.0034455,0.0034455,2.0939e-005,1.5173,1,0.025,49.5,49.5,-0.975
0.0035899,0.0035899,2.1777e-005,1.5173,1,0.026,49.5,49.5,-0.974
0.0037343,0.0037343,2.2614e-005,1.5173,1,0.027,49.5,49.5,-0.973
0.0038787,0.0038787,2.3452e-005,1.5173,1,0.028,49.5,49.5,-0.972
0.0040231,0.0040231,2.4289e-005,1.5173,1,0.029,49.5,49.5,-0.971
0.0041675,0.0041675,2.5127e-005,1.5173,1,0.03,49.5,49.5,-0.97
0.0043119,0.0043119,2.5964e-005,1.5173,1,0.031,49.5,49.5,-0.969
0.0044563,0.0044563,2.6802e-005,1.5173,1,0.032,49.5,49.5,-0.968
0.0046007,0.0046007,2.7639e-005,1.5173,1,0.033,49.5,49.5,-0.967
0.0047451,0.0047451,2.8477e-005,1.5173,1,0.034,49.5,49.5,-0.966
0.0048895,0.0048895,2.9315e-005,1.5173,1,0.035,49.5,49.5,-0.965
0.0050339,0.0050339,3.0152e-005,1.5173,1,0.036,49.5,49.5,-0.964
0.0051783,0.0051783,3.099e-005,1.5173,1,0.037,49.5,49.5,-0.963
0.0053227,0.0053227,3.1827e-005,1.5173,1,0.038,49.5,49.5,-0.962
0.0054671,0.0054671,3.2665e-005,1.5173,1,0.039,49.5,49.5,-0.961
0.0056115,0.0056115,3.3502e-005,1.5173,1,0.04,49.5,49.5,-0.96
0.0057559,0.0057559,3.434e-005,1.5173,1,0.041,49.5,49.5,-0.959
0.0059003,0.0059003,3.5177e-005,1.5173,1,0.042,49.5,49.5,-0.958
0.0060447,0.0060447,3.6015e-005,1.5173,1,0.043,49.5,49.5,-0.957
0.0061891,0.0061891,3.6853e-005,1.5173,1,0.044,49.5,49.5,-0.956
0.0063335,0.0063335,3.769e-005,1.5173,1,0.045,49.5,49.5,-0.955
0.0064779,0.0064779,3.8528e-005,1.5173,1,0.046,49.5,49.5,-0.954
0.0066223,0.0066223,3.9365e-005,1.5173,1,0.047,49.5,49.5,-0.953
0.0067667,0.0067667,4.0203e-005,1.5173,1,0.048,49.5,49.5,-0.952
0.0069111,0.0069111,4.104e-005,1.5173,1,0.049,49.5,49.5,-0.951
0.0070555,0.0070555,4.1878e-005,1.5173,1,0.05,49.5,49.5,-0.95
0.0071999,0.0071999,4.2715e-005,1.5173,1,0.051,49.5,49.5,-0.949
0.0073443,0.0073443,4.3553e-005,1.5173,1,0.052,49.5,49.5,-0.948
0.0074887,0.0074887,4.4391e-005,1.5173,1,0.053,49.5,49.5,-0.947
0.0076331,0.0076331,4.5228e-005,1.5173,1,0.054,49.5,49.5,-0.946
0.0077775,0.0077775,4.6066e-005,1.5173,1,0.055,49.5,49.5,-0.945
0.0079219,0.0079219,4.6903e-005,1.5173,1,0.056,49.5,49.5,-0.944
0.0080663,0.0080663,4.7741e-005,1.5173,1,0.057,49.5,49.5,-0.943
0.0082107,0.0082107,4.8578e-005,1.5173,1,0.058,49.5,49.5,-0.942
0.0083551,0.0083551,4.9416e-005,1.5173,1,0.059,49.5,49.5,-0.941
0.0084995,0.0084995,5.0254e-005,1.5173,1,0.06,49.5,49.5,-0.94
0.0086439,0.0086439,5.1091e-005,1.5173,1,0.061,49.5,49.5,-0.939
0.0087883,0.0087883,5.1929e-005,1.5173,1,0.062,49.5,49.5,-0.938
0.0089327,0.0089327,5.2766e-005,1.5173,1,0.063,49.5,49.5,-0.937
0.0090771,0.0090771,5.3604e-005,1.5173,1,0.064,49.5,49.5,-0.936
0.0092215,0.0092215,5.4441e-005,1.5173,1,0.065,49.5,49.5,-0.935
0.0093659,0.0093659,5.5279e-005,1.5173,1,0.066,49.5,49.5,-0.934
0.0095103,0.0095103,5.6116e-005,1.5173,1,0.067,49.5,49.5,-0.933
0.0096547,0.0096547,5.6954e-005,1.5173,1,0.068,49.5,49.5,-0.932
0.0097991,0.0097991,5.7792e-005,1.5173,1,0.069,49.5,49.5,-0.931
0.0099435,0.0099435,5.8629e-005,1.5173,1,0.07,49.5,49.5,-0.93
0.010088,0.010088,5.9467e-005,1.5173,1,0.071,49.5,49.5,-0.929
0.010232,0.010232,6.0304e-005,1.5173,1,0.072,49.5,49.5,-0.928
0.010377,0.010377,6.1142e-005,1.5173,1,0.073,49.5,49.5,-0.927
0.010521,0.010521,6.1979e-005,1.5173,1,0.074,49.5,49.5,-0.926
0.010665,0.010665,6.2817e-005,1.5173,1,0.075,49.5,49.5,-0.925
0.01081,0.01081,6.3654e-005,1.5173,1,0.076,49.5,49.5,-0.924
0.010954,0.010954,6.4492e-005,1.5173,1,0.077,49.5,49.5,-0.923
0.011099,0.011099,6.533e-005,1.5173,1,0.078,49.5,49.5,-0.922
0.011243,0.011243,6.6167e-005,1.5173,1,0.079,49.5,49.5,-0.921
0.011387,0.011387,6.7005e-005,1.5173,1,0.08,49.5,49.5,-0.92
0.011532,0.011532,6.7842e-005,1.5173,1,0.081,49.5,49.5,-0.919
0.011676,0.011676,6.868e-005,1.5173,1,0.082,49.5,49.5,-0.918
0.011821,0.011821,6.9517e-005,1.5173,1,0.083,49.5,49.5,-0.917
0.011965,0.011965,7.0355e-005,1.5173,1,0.084,49.5,49.5,-0.916
0.012109,0.012109,7.1192e-005,1.5173,1,0.085,49.5,49.5,-0.915
0.012254,0.012254,7.203e-005,1.5173,1,0.086,49.5,49.5,-0.914
0.012398,0.012398,7.2868e-005,1.5173,1,0.087,49.5,49.5,-0.913
0.012543,0.012543,7.3705e-005,1.5173,1,0.088,49.5,49.5,-0.912
0.012687,0.012687,7.4543e-005,1.5173,1,0.089,49.5,49.5,-0.911
0.012831,0.012831,7.538e-005,1.5173,1,0.09,49.5,49.5,-0.91
0.012976,0.012976,7.6218e-005,1.5173,1,0.091,49.5,49.5,-0.909
0.01312,0.01312,7.7055e-005,1.5173,1,0.092,49.5,49.5,-0.908
0.013265,0.013265,7.7893e-005,1.5173,1,0.093,49.5,49.5,-0.907
0.013409,0.013409,7.8731e-005,1.5173,1,0.094,49.5,49.5,-0.906
0.013553,0.013553,7.9568e-005,1.5173,1,0.095,49.5,49.5,-0.905
0.013698,0.013698,8.0406e-005,1.5173,1,0.096,49.5,49.5,-0.904
0.013842,0.013842,8.1243e-005,1.5173,1,0.097,49.5,49.5,-0.903
0.013987,0.013987,8.2081e-005,1.5173,1,0.098,49.5,49.5,-0.902
0.014131,0.014131,8.2918e-005,1.5173,1,0.099,49.5,49.5,-0.901
0.014275,0.014275,8.3756e-005,1.5173,1,0.1,49.5,49.5,-0.9
0.01442,0.01442,8.4593e-005,1.5173,1,0.101,49.5,49.5,-0.899
0.014564,0.014564,8.5431e-005,1.5173,1,0.102,49.5,49.5,-0.898
0.014709,0.014709,8.6269e-005,1.5173,1,0.103,49.5,49.5,-0.897
0.014853,0.014853,8.7106e-005,1.5173,1,0.104,49.5,49.5,-0.896
0.014997,0.014997,8.7944e-005,1.5173,1,0.105,49.5,49.5,-0.895
0.015142,0.015142,8.8781e-005,1.5173,1,0.106,49.5,49.5,-0.894
0.015286,0.015286,8.9619e-005,1.5173,1,0.107,49.5,49.5,-0.893
0.015431,0.015431,9.0456e-005,1.5173,1,0.108,49.5,49.5,-0.892
0.015575,0.015575,9.1294e-005,1.5173,1,0.109,49.5,49.5,-0.891
0.015719,0.015719,9.2131e-005,1.5173,1,0.11,49.5,49.5,-0.89
0.015864,0.015864,9.2969e-005,1.5173,1,0.111,49.5,49.5,-0.889
0.016008,0.016008,9.3807e-005,1.5173,1,0.112,49.5,49.5,-0.888
0.016153,0.016153,9.4644e-005,1.5173,1,0.113,49.5,49.5,-0.887
0.016297,0.016297,9.5482e-005,1.5173,1,0.114,49.5,49.5,-0.886
0.016441,0.016441,9.6319e-005,1.5173,1,0.115,49.5,49.5,-0.885
0.016586,0.016586,9.7157e-005,1.5173,1,0.116,49.5,49.5,-0.884
0.01673,0.01673,9.7994e-005,1.5173,1,0.117,49.5,49.5,-0.883
0.016875,0.016875,9.8832e-005,1.5173,1,0.118,49.5,49.5,-0.882
0.017019,0.017019,9.967e-005,1.5173,1,0.119,49.5,49.5,-0.881
0.017163,0.017163,0.00010051,1.5173,1,0.12,49.5,49.5,-0.88
0.017308,0.017308,0.00010134,1.5173,1,0.121,49.5,49.5,-0.879
0.017452,0.017452,0.00010218,1.5173,1,0.122,49.5,49.5,-0.878
0.017597,0.017597,0.00010302,1.5173,1,0.123,49.5,49.5,-0.877
0.017741,0.017741,0.00010386,1.5173,1,0.124,49.5,49.5,-0.876
0.017885,0.017885,0.00010469,1.5173,1,0.125,49.5,49.5,-0.875
0.01803,0.01803,0.00010553,1.5173,1,0.126,49.5,49.5,-0.874
0.018174,0.018174,0.00010637,1.5173,1,0.127,49.5,49.5,-0.873
0.018319,0.018319,0.00010721,1.5173,1,0.128,49.5,49.5,-0.872
0.018463,0.018463,0.00010805,1.5173,1,0.129,49.5,49.5,-0.871
0.018607,0.018607,0.00010888,1.5173,1,0.13,49.5,49.5,-0.87
0.018752,0.018752,0.00010972,1.5173,1,0.131,49.5,49.5,-0.869
0.018896,0.018896,0.00011056,1.5173,1,0.132,49.5,49.5,-0.868
0.019041,0.019041,0.0001114,1.5173,1,0.133,49.5,49.5,-0.867
0.019185,0.019185,0.00011223,1.5173,1,0.134,49.5,49.5,-0.866
0.019329,0.019329,0.00011307,1.5173,1,0.135,49.5,49.5,-0.865
0.019474,0.019474,0.00011391,1.5173,1,0.136,49.5,49.5,-0.864
0.019618,0.019618,0.00011475,1.5173,1,0.137,49.5,49.5,-0.863
0.019763,0.019763,0.00011558,1.5173,1,0.138,49.5,49.5,-0.862
0.019907,0.019907,0.00011642,1.5173,1,0.139,49.5,49.5,-0.861
0.020051,0.020051,0.00011726,1.5173,1,0.14,49.5,49.5,-0.86
0.020196,0.020196,0.0001181,1.5173,1,0.141,49.5,49.5,-0.859
0.02034,0.02034,0.00011893,1.5173,1,0.142,49.5,49.5,-0.858
0.020485,0.020485,0.00011977,1.5173,1,0.143,49.5,49.5,-0.857
0.020629,0.020629,0.00012061,1.5173,1,0.144,49.5,49.5,-0.856
0.020773,0.020773,0.00012145,1.5173,1,0.145,49.5,49.5,-0.855
0.020918,0.020918,0.00012228,1.5173,1,0.146,49.5,49.5,-0.854
0.021062,0.021062,0.00012312,1.5173,1,0.147,49.5,49.5,-0.853
0.021207,0.021207,0.00012396,1.5173,1,0.148,49.5,49.5,-0.852
0.021351,0.021351,0.0001248,1.5173,1,0.149,49.5,49.5,-0.851
0.021495,0.021495,0.00012563,1.5173,1,0.15,49.5,49.5,-0.85
0.02164,0.02164,0.00012647,1.5173,1,0.151,49.5,49.5,-0.849
0.021784,0.021784,0.00012731,1.5173,1,0.152,49.5,49.5,-0.848
0.021929,0.021929,0.00012815,1.5173,1,0.153,49.5,49.5,-0.847
0.022073,0.022073,0.00012898,1.5173,1,0.154,49.5,49.5,-0.846
0.022217,0.022217,0.00012982,1.5173,1,0.155,49.5,49.5,-0.845
0.022362,0.022362,0.00013066,1.5173,1,0.156,49.5,49.5,-0.844
0.022506,0.022506,0.0001315,1.5173,1,0.157,49.5,49.5,-0.843
0.022651,0.022651,0.00013233,1.5173,1,0.158,49.5,49.5,-0.842
0.022795,0.022795,0.00013317,1.5173,1,0.159,49.5,49.5,-0.841
0.022939,0.022939,0.00013401,1.5173,1,0.16,49.5,49.5,-0.84
0.023084,0.023084,0.00013485,1.5173,1,0.161,49.5,49.5,-0.839
0.023228,0.023228,0.00013568,1.5173,1,0.162,49.5,49.5,-0.838
0.023373,0.023373,0.00013652,1.5173,1,0.163,49.5,49.5,-0.837
0.023517,0.023517,0.00013736,1.5173,1,0.164,49.5,49.5,-0.836
0.023661,0.023661,0.0001382,1.5173,1,0.165,49.5,49.5,-0.835
0.023806,0.023806,0.00013903,1.5173,1,0.166,49.5,49.5,-0.834
0.02395,0.02395,0.00013987,1.5173,1,0.167,49.5,49.5,-0.833
0.024094,0.024094,0.00014071,1.5173,1,0.168,49.5,49.5,-0.832
0.024239,0.024239,0.00014155,1.5173,1,0.169,49.5,49.5,-0.831
0.024383,0.024383,0.00014238,1.5173,1,0.17,49.5,49.5,-0.83
0.024528,0.024528,0.00014322,1.5173,1,0.171,49.5,49.5,-0.829
0.024672,0.024672,0.00014406,1.5173,1,0.172,49.5,49.5,-0.828
0.024816,0.024816,0.0001449,1.5173,1,0.173,49.5,49.5,-0.827
0.024961,0.024961,0.00014574,1.5173,1,0.174,49.5,49.5,-0.826
0.025105,0.025105,0.00014657,1.5173,1,0.175,49.5,49.5,-0.825
0.02525,0.02525,0.00014741,1.5173,1,0.176,49.5,49.5,-0.824
0.025394,0.025394,0.00014825,1.5173,1,0.177,49.5,49.5,-0.823
0.025538,0.025538,0.00014909,1.5173,1,0.178,49.5,49.5,-0.822
0.025683,0.025683,0.00014992,1.5173,1,0.179,49.5,49.5,-0.821
