"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00024687,-0.00024687,1.381e-020,1.5235,1,0,49.5,49.5,-1
-2.8422e-005,-2.8422e-005,-3.1097e-007,1.5235,1,0.00099999,49.5,49.5,-0.999
0.00019003,0.00019003,-6.2194e-007,1.5235,1,0.002,49.5,49.5,-0.998
0.00040849,0.00040849,-9.3293e-007,1.5235,1,0.003,49.5,49.5,-0.997
0.00062693,0.00062693,-1.2439e-006,1.5235,1,0.004,49.5,49.5,-0.996
0.00084538,0.00084538,-1.5549e-006,1.5235,1,0.005,49.5,49.5,-0.995
0.0010638,0.0010638,-1.8658e-006,1.5235,1,0.006,49.5,49.5,-0.994
0.0012823,0.0012823,-2.1768e-006,1.5235,1,0.007,49.5,49.5,-0.993
0.0015007,0.0015007,-2.4878e-006,1.5235,1,0.008,49.5,49.5,-0.992
0.0017192,0.0017192,-2.7988e-006,1.5235,1,0.009,49.5,49.5,-0.991
0.0019376,0.0019376,-3.1097e-006,1.5235,1,0.01,49.5,49.5,-0.99
0.0021561,0.0021561,-3.4207e-006,1.5235,1,0.011,49.5,49.5,-0.989
0.0023745,0.0023745,-3.7317e-006,1.5235,1,0.012,49.5,49.5,-0.988
0.002593,0.002593,-4.0427e-006,1.5235,1,0.013,49.5,49.5,-0.987
0.0028114,0.0028114,-4.3536e-006,1.5235,1,0.014,49.5,49.5,-0.986
0.0030299,0.0030299,-4.6646e-006,1.5235,1,0.015,49.5,49.5,-0.985
0.0032483,0.0032483,-4.9756e-006,1.5235,1,0.016,49.5,49.5,-0.984
0.0034668,0.0034668,-5.2866e-006,1.5235,1,0.017,49.5,49.5,-0.983
0.0036852,0.0036852,-5.5975e-006,1.5235,1,0.018,49.5,49.5,-0.982
0.0039037,0.0039037,-5.9085e-006,1.5235,1,0.019,49.5,49.5,-0.981
0.0041221,0.0041221,-6.2195e-006,1.5235,1,0.02,49.5,49.5,-0.98
0.0043406,0.0043406,-6.5305e-006,1.5235,1,0.021,49.5,49.5,-0.979
0.004559,0.004559,-6.8414e-006,1.5235,1,0.022,49.5,49.5,-0.978
0.0047775,0.0047775,-7.1524e-006,1.5235,1,0.023,49.5,49.5,-0.977
0.0049959,0.0049959,-7.4634e-006,1.5235,1,0.024,49.5,49.5,-0.976
0.0052144,0.0052144,-7.7743e-006,1.5235,1,0.025,49.5,49.5,-0.975
0.0054328,0.0054328,-8.0853e-006,1.5235,1,0.026,49.5,49.5,-0.974
0.0056513,0.0056513,-8.3963e-006,1.5235,1,0.027,49.5,49.5,-0.973
0.0058697,0.0058697,-8.7073e-006,1.5235,1,0.028,49.5,49.5,-0.972
0.0060882,0.0060882,-9.0182e-006,1.5235,1,0.029,49.5,49.5,-0.971
0.0063066,0.0063066,-9.3292e-006,1.5235,1,0.03,49.5,49.5,-0.97
0.0065251,0.0065251,-9.6402e-006,1.5235,1,0.031,49.5,49.5,-0.969
0.0067435,0.0067435,-9.9512e-006,1.5235,1,0.032,49.5,49.5,-0.968
0.006962,0.006962,-1.0262e-005,1.5235,1,0.033,49.5,49.5,-0.967
0.0071804,0.0071804,-1.0573e-005,1.5235,1,0.034,49.5,49.5,-0.966
0.0073989,0.0073989,-1.0884e-005,1.5235,1,0.035,49.5,49.5,-0.965
0.0076173,0.0076173,-1.1195e-005,1.5235,1,0.036,49.5,49.5,-0.964
0.0078358,0.0078358,-1.1506e-005,1.5235,1,0.037,49.5,49.5,-0.963
0.0080542,0.0080542,-1.1817e-005,1.5235,1,0.038,49.5,49.5,-0.962
0.0082727,0.0082727,-1.2128e-005,1.5235,1,0.039,49.5,49.5,-0.961
0.0084912,0.0084912,-1.2439e-005,1.5235,1,0.04,49.5,49.5,-0.96
0.0087096,0.0087096,-1.275e-005,1.5235,1,0.041,49.5,49.5,-0.959
0.008928,0.008928,-1.3061e-005,1.5235,1,0.042,49.5,49.5,-0.958
0.0091465,0.0091465,-1.3372e-005,1.5235,1,0.043,49.5,49.5,-0.957
0.009365,0.009365,-1.3683e-005,1.5235,1,0.044,49.5,49.5,-0.956
0.0095834,0.0095834,-1.3994e-005,1.5235,1,0.045,49.5,49.5,-0.955
0.0098019,0.0098019,-1.4305e-005,1.5235,1,0.046,49.5,49.5,-0.954
0.01002,0.01002,-1.4616e-005,1.5235,1,0.047,49.5,49.5,-0.953
0.010239,0.010239,-1.4927e-005,1.5235,1,0.048,49.5,49.5,-0.952
0.010457,0.010457,-1.5238e-005,1.5235,1,0.049,49.5,49.5,-0.951
0.010676,0.010676,-1.5549e-005,1.5235,1,0.05,49.5,49.5,-0.95
0.010894,0.010894,-1.586e-005,1.5235,1,0.051,49.5,49.5,-0.949
0.011113,0.011113,-1.6171e-005,1.5235,1,0.052,49.5,49.5,-0.948
0.011331,0.011331,-1.6482e-005,1.5235,1,0.053,49.5,49.5,-0.947
0.011549,0.011549,-1.6793e-005,1.5235,1,0.054,49.5,49.5,-0.946
0.011768,0.011768,-1.7104e-005,1.5235,1,0.055,49.5,49.5,-0.945
0.011986,0.011986,-1.7415e-005,1.5235,1,0.056,49.5,49.5,-0.944
0.012205,0.012205,-1.7725e-005,1.5235,1,0.057,49.5,49.5,-0.943
0.012423,0.012423,-1.8036e-005,1.5235,1,0.058,49.5,49.5,-0.942
0.012642,0.012642,-1.8347e-005,1.5235,1,0.059,49.5,49.5,-0.941
0.01286,0.01286,-1.8658e-005,1.5235,1,0.06,49.5,49.5,-0.94
0.013079,0.013079,-1.8969e-005,1.5235,1,0.061,49.5,49.5,-0.939
0.013297,0.013297,-1.928e-005,1.5235,1,0.062,49.5,49.5,-0.938
0.013516,0.013516,-1.9591e-005,1.5235,1,0.063,49.5,49.5,-0.937
0.013734,0.013734,-1.9902e-005,1.5235,1,0.064,49.5,49.5,-0.936
0.013952,0.013952,-2.0213e-005,1.5235,1,0.065,49.5,49.5,-0.935
0.014171,0.014171,-2.0524e-005,1.5235,1,0.066,49.5,49.5,-0.934
0.014389,0.014389,-2.0835e-005,1.5235,1,0.067,49.5,49.5,-0.933
0.014608,0.014608,-2.1146e-005,1.5235,1,0.068,49.5,49.5,-0.932
0.014826,0.014826,-2.1457e-005,1.5235,1,0.069,49.5,49.5,-0.931
0.015045,0.015045,-2.1768e-005,1.5235,1,0.07,49.5,49.5,-0.93
0.015263,0.015263,-2.2079e-005,1.5235,1,0.071,49.5,49.5,-0.929
0.015482,0.015482,-2.239e-005,1.5235,1,0.072,49.5,49.5,-0.928
0.0157,0.0157,-2.2701e-005,1.5235,1,0.073,49.5,49.5,-0.927
0.015918,0.015918,-2.3012e-005,1.5235,1,0.074,49.5,49.5,-0.926
0.016137,0.016137,-2.3323e-005,1.5235,1,0.075,49.5,49.5,-0.925
0.016355,0.016355,-2.3634e-005,1.5235,1,0.076,49.5,49.5,-0.924
0.016574,0.016574,-2.3945e-005,1.5235,1,0.077,49.5,49.5,-0.923
0.016792,0.016792,-2.4256e-005,1.5235,1,0.078,49.5,49.5,-0.922
0.017011,0.017011,-2.4567e-005,1.5235,1,0.079,49.5,49.5,-0.921
0.017229,0.017229,-2.4878e-005,1.5235,1,0.08,49.5,49.5,-0.92
0.017448,0.017448,-2.5189e-005,1.5235,1,0.081,49.5,49.5,-0.919
0.017666,0.017666,-2.55e-005,1.5235,1,0.082,49.5,49.5,-0.918
0.017885,0.017885,-2.5811e-005,1.5235,1,0.083,49.5,49.5,-0.917
0.018103,0.018103,-2.6122e-005,1.5235,1,0.084,49.5,49.5,-0.916
0.018321,0.018321,-2.6433e-005,1.5235,1,0.085,49.5,49.5,-0.915
0.01854,0.01854,-2.6744e-005,1.5235,1,0.086,49.5,49.5,-0.914
0.018758,0.018758,-2.7055e-005,1.5235,1,0.087,49.5,49.5,-0.913
0.018977,0.018977,-2.7366e-005,1.5235,1,0.088,49.5,49.5,-0.912
0.019195,0.019195,-2.7677e-005,1.5235,1,0.089,49.5,49.5,-0.911
0.019414,0.019414,-2.7988e-005,1.5235,1,0.09,49.5,49.5,-0.91
0.019632,0.019632,-2.8299e-005,1.5235,1,0.091,49.5,49.5,-0.909
0.019851,0.019851,-2.861e-005,1.5235,1,0.092,49.5,49.5,-0.908
0.020069,0.020069,-2.8921e-005,1.5235,1,0.093,49.5,49.5,-0.907
0.020287,0.020287,-2.9232e-005,1.5235,1,0.094,49.5,49.5,-0.906
0.020506,0.020506,-2.9543e-005,1.5235,1,0.095,49.5,49.5,-0.905
0.020724,0.020724,-2.9853e-005,1.5235,1,0.096,49.5,49.5,-0.904
0.020943,0.020943,-3.0164e-005,1.5235,1,0.097,49.5,49.5,-0.903
0.021161,0.021161,-3.0475e-005,1.5235,1,0.098,49.5,49.5,-0.902
0.02138,0.02138,-3.0786e-005,1.5235,1,0.099,49.5,49.5,-0.901
0.021598,0.021598,-3.1097e-005,1.5235,1,0.1,49.5,49.5,-0.9
0.021817,0.021817,-3.1408e-005,1.5235,1,0.101,49.5,49.5,-0.899
0.022035,0.022035,-3.1719e-005,1.5235,1,0.102,49.5,49.5,-0.898
0.022254,0.022254,-3.203e-005,1.5235,1,0.103,49.5,49.5,-0.897
0.022472,0.022472,-3.2341e-005,1.5235,1,0.104,49.5,49.5,-0.896
0.02269,0.02269,-3.2652e-005,1.5235,1,0.105,49.5,49.5,-0.895
0.022909,0.022909,-3.2963e-005,1.5235,1,0.106,49.5,49.5,-0.894
0.023127,0.023127,-3.3274e-005,1.5235,1,0.107,49.5,49.5,-0.893
0.023346,0.023346,-3.3585e-005,1.5235,1,0.108,49.5,49.5,-0.892
0.023564,0.023564,-3.3896e-005,1.5235,1,0.109,49.5,49.5,-0.891
0.023783,0.023783,-3.4207e-005,1.5235,1,0.11,49.5,49.5,-0.89
0.024001,0.024001,-3.4518e-005,1.5235,1,0.111,49.5,49.5,-0.889
