"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.0855e-005,6.0855e-005,3.1298e-020,1.5245,1,0,49.5,49.5,-1
0.00028913,0.00028913,-7.0475e-007,1.5245,1,0.00099999,49.5,49.5,-0.999
0.00051741,0.00051741,-1.4095e-006,1.5245,1,0.002,49.5,49.5,-0.998
0.00074571,0.00074571,-2.1143e-006,1.5245,1,0.003,49.5,49.5,-0.997
0.00097399,0.00097399,-2.8191e-006,1.5245,1,0.004,49.5,49.5,-0.996
0.0012023,0.0012023,-3.5238e-006,1.5245,1,0.005,49.5,49.5,-0.995
0.0014305,0.0014305,-4.2286e-006,1.5245,1,0.006,49.5,49.5,-0.994
0.0016588,0.0016588,-4.9334e-006,1.5245,1,0.007,49.5,49.5,-0.993
0.0018871,0.0018871,-5.6381e-006,1.5245,1,0.008,49.5,49.5,-0.992
0.0021154,0.0021154,-6.3429e-006,1.5245,1,0.009,49.5,49.5,-0.991
0.0023437,0.0023437,-7.0476e-006,1.5245,1,0.01,49.5,49.5,-0.99
0.002572,0.002572,-7.7524e-006,1.5245,1,0.011,49.5,49.5,-0.989
0.0028003,0.0028003,-8.4572e-006,1.5245,1,0.012,49.5,49.5,-0.988
0.0030285,0.0030285,-9.1619e-006,1.5245,1,0.013,49.5,49.5,-0.987
0.0032568,0.0032568,-9.8667e-006,1.5245,1,0.014,49.5,49.5,-0.986
0.0034851,0.0034851,-1.0571e-005,1.5245,1,0.015,49.5,49.5,-0.985
0.0037134,0.0037134,-1.1276e-005,1.5245,1,0.016,49.5,49.5,-0.984
0.0039417,0.0039417,-1.1981e-005,1.5245,1,0.017,49.5,49.5,-0.983
0.0041699,0.0041699,-1.2686e-005,1.5245,1,0.018,49.5,49.5,-0.982
0.0043982,0.0043982,-1.3391e-005,1.5245,1,0.019,49.5,49.5,-0.981
0.0046265,0.0046265,-1.4095e-005,1.5245,1,0.02,49.5,49.5,-0.98
0.0048548,0.0048548,-1.48e-005,1.5245,1,0.021,49.5,49.5,-0.979
0.0050831,0.0050831,-1.5505e-005,1.5245,1,0.022,49.5,49.5,-0.978
0.0053114,0.0053114,-1.621e-005,1.5245,1,0.023,49.5,49.5,-0.977
0.0055396,0.0055396,-1.6914e-005,1.5245,1,0.024,49.5,49.5,-0.976
0.0057679,0.0057679,-1.7619e-005,1.5245,1,0.025,49.5,49.5,-0.975
0.0059962,0.0059962,-1.8324e-005,1.5245,1,0.026,49.5,49.5,-0.974
0.0062245,0.0062245,-1.9029e-005,1.5245,1,0.027,49.5,49.5,-0.973
0.0064528,0.0064528,-1.9733e-005,1.5245,1,0.028,49.5,49.5,-0.972
0.006681,0.006681,-2.0438e-005,1.5245,1,0.029,49.5,49.5,-0.971
0.0069093,0.0069093,-2.1143e-005,1.5245,1,0.03,49.5,49.5,-0.97
0.0071376,0.0071376,-2.1848e-005,1.5245,1,0.031,49.5,49.5,-0.969
0.0073659,0.0073659,-2.2552e-005,1.5245,1,0.032,49.5,49.5,-0.968
0.0075942,0.0075942,-2.3257e-005,1.5245,1,0.033,49.5,49.5,-0.967
0.0078225,0.0078225,-2.3962e-005,1.5245,1,0.034,49.5,49.5,-0.966
0.0080507,0.0080507,-2.4667e-005,1.5245,1,0.035,49.5,49.5,-0.965
0.008279,0.008279,-2.5372e-005,1.5245,1,0.036,49.5,49.5,-0.964
0.0085073,0.0085073,-2.6076e-005,1.5245,1,0.037,49.5,49.5,-0.963
0.0087356,0.0087356,-2.6781e-005,1.5245,1,0.038,49.5,49.5,-0.962
0.0089639,0.0089639,-2.7486e-005,1.5245,1,0.039,49.5,49.5,-0.961
0.0091922,0.0091922,-2.8191e-005,1.5245,1,0.04,49.5,49.5,-0.96
0.0094204,0.0094204,-2.8895e-005,1.5245,1,0.041,49.5,49.5,-0.959
0.0096487,0.0096487,-2.96e-005,1.5245,1,0.042,49.5,49.5,-0.958
0.009877,0.009877,-3.0305e-005,1.5245,1,0.043,49.5,49.5,-0.957
0.010105,0.010105,-3.101e-005,1.5245,1,0.044,49.5,49.5,-0.956
0.010334,0.010334,-3.1714e-005,1.5245,1,0.045,49.5,49.5,-0.955
0.010562,0.010562,-3.2419e-005,1.5245,1,0.046,49.5,49.5,-0.954
0.01079,0.01079,-3.3124e-005,1.5245,1,0.047,49.5,49.5,-0.953
0.011018,0.011018,-3.3829e-005,1.5245,1,0.048,49.5,49.5,-0.952
0.011247,0.011247,-3.4533e-005,1.5245,1,0.049,49.5,49.5,-0.951
