"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.8148e-005,-3.8148e-005,-5.1494e-020,1.5146,1,0,49.5,49.5,-1
7.2692e-005,7.2692e-005,1.1595e-006,1.5146,1,0.00099999,49.5,49.5,-0.999
0.00018353,0.00018353,2.319e-006,1.5146,1,0.002,49.5,49.5,-0.998
0.00029438,0.00029438,3.4786e-006,1.5146,1,0.003,49.5,49.5,-0.997
0.00040522,0.00040522,4.6381e-006,1.5146,1,0.004,49.5,49.5,-0.996
0.00051606,0.00051606,5.7977e-006,1.5146,1,0.005,49.5,49.5,-0.995
0.0006269,0.0006269,6.9572e-006,1.5146,1,0.006,49.5,49.5,-0.994
0.00073775,0.00073775,8.1168e-006,1.5146,1,0.007,49.5,49.5,-0.993
0.00084859,0.00084859,9.2763e-006,1.5146,1,0.008,49.5,49.5,-0.992
0.00095943,0.00095943,1.0436e-005,1.5146,1,0.009,49.5,49.5,-0.991
0.0010703,0.0010703,1.1595e-005,1.5146,1,0.01,49.5,49.5,-0.99
0.0011811,0.0011811,1.2755e-005,1.5146,1,0.011,49.5,49.5,-0.989
0.001292,0.001292,1.3914e-005,1.5146,1,0.012,49.5,49.5,-0.988
0.0014028,0.0014028,1.5074e-005,1.5146,1,0.013,49.5,49.5,-0.987
0.0015136,0.0015136,1.6233e-005,1.5146,1,0.014,49.5,49.5,-0.986
0.0016245,0.0016245,1.7393e-005,1.5146,1,0.015,49.5,49.5,-0.985
0.0017353,0.0017353,1.8553e-005,1.5146,1,0.016,49.5,49.5,-0.984
0.0018462,0.0018462,1.9712e-005,1.5146,1,0.017,49.5,49.5,-0.983
0.001957,0.001957,2.0872e-005,1.5146,1,0.018,49.5,49.5,-0.982
0.0020678,0.0020678,2.2031e-005,1.5146,1,0.019,49.5,49.5,-0.981
0.0021787,0.0021787,2.3191e-005,1.5146,1,0.02,49.5,49.5,-0.98
0.0022895,0.0022895,2.435e-005,1.5146,1,0.021,49.5,49.5,-0.979
0.0024004,0.0024004,2.551e-005,1.5146,1,0.022,49.5,49.5,-0.978
0.0025112,0.0025112,2.6669e-005,1.5146,1,0.023,49.5,49.5,-0.977
0.0026221,0.0026221,2.7829e-005,1.5146,1,0.024,49.5,49.5,-0.976
0.0027329,0.0027329,2.8988e-005,1.5146,1,0.025,49.5,49.5,-0.975
0.0028437,0.0028437,3.0148e-005,1.5146,1,0.026,49.5,49.5,-0.974
0.0029546,0.0029546,3.1307e-005,1.5146,1,0.027,49.5,49.5,-0.973
0.0030654,0.0030654,3.2467e-005,1.5146,1,0.028,49.5,49.5,-0.972
0.0031763,0.0031763,3.3626e-005,1.5146,1,0.029,49.5,49.5,-0.971
0.0032871,0.0032871,3.4786e-005,1.5146,1,0.03,49.5,49.5,-0.97
0.0033979,0.0033979,3.5946e-005,1.5146,1,0.031,49.5,49.5,-0.969
0.0035088,0.0035088,3.7105e-005,1.5146,1,0.032,49.5,49.5,-0.968
0.0036196,0.0036196,3.8265e-005,1.5146,1,0.033,49.5,49.5,-0.967
0.0037305,0.0037305,3.9424e-005,1.5146,1,0.034,49.5,49.5,-0.966
0.0038413,0.0038413,4.0584e-005,1.5146,1,0.035,49.5,49.5,-0.965
0.0039522,0.0039522,4.1743e-005,1.5146,1,0.036,49.5,49.5,-0.964
0.004063,0.004063,4.2903e-005,1.5146,1,0.037,49.5,49.5,-0.963
0.0041738,0.0041738,4.4062e-005,1.5146,1,0.038,49.5,49.5,-0.962
0.0042847,0.0042847,4.5222e-005,1.5146,1,0.039,49.5,49.5,-0.961
0.0043955,0.0043955,4.6381e-005,1.5146,1,0.04,49.5,49.5,-0.96
0.0045064,0.0045064,4.7541e-005,1.5146,1,0.041,49.5,49.5,-0.959
0.0046172,0.0046172,4.87e-005,1.5146,1,0.042,49.5,49.5,-0.958
0.004728,0.004728,4.986e-005,1.5146,1,0.043,49.5,49.5,-0.957
0.0048389,0.0048389,5.102e-005,1.5146,1,0.044,49.5,49.5,-0.956
0.0049497,0.0049497,5.2179e-005,1.5146,1,0.045,49.5,49.5,-0.955
0.0050606,0.0050606,5.3339e-005,1.5146,1,0.046,49.5,49.5,-0.954
0.0051714,0.0051714,5.4498e-005,1.5146,1,0.047,49.5,49.5,-0.953
0.0052822,0.0052822,5.5658e-005,1.5146,1,0.048,49.5,49.5,-0.952
0.0053931,0.0053931,5.6817e-005,1.5146,1,0.049,49.5,49.5,-0.951
0.0055039,0.0055039,5.7977e-005,1.5146,1,0.05,49.5,49.5,-0.95
0.0056148,0.0056148,5.9136e-005,1.5146,1,0.051,49.5,49.5,-0.949
0.0057256,0.0057256,6.0296e-005,1.5146,1,0.052,49.5,49.5,-0.948
