"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-5.0865e-005,-5.0865e-005,2.6133e-020,1.5243,1,0,49.5,49.5,-1
0.0001754,0.0001754,-5.8845e-007,1.5243,1,0.00099999,49.5,49.5,-0.999
0.00040166,0.00040166,-1.1769e-006,1.5243,1,0.002,49.5,49.5,-0.998
0.00062793,0.00062793,-1.7654e-006,1.5243,1,0.003,49.5,49.5,-0.997
0.00085419,0.00085419,-2.3538e-006,1.5243,1,0.004,49.5,49.5,-0.996
0.0010805,0.0010805,-2.9423e-006,1.5243,1,0.005,49.5,49.5,-0.995
0.0013067,0.0013067,-3.5308e-006,1.5243,1,0.006,49.5,49.5,-0.994
0.001533,0.001533,-4.1192e-006,1.5243,1,0.007,49.5,49.5,-0.993
0.0017593,0.0017593,-4.7077e-006,1.5243,1,0.008,49.5,49.5,-0.992
0.0019855,0.0019855,-5.2961e-006,1.5243,1,0.009,49.5,49.5,-0.991
0.0022118,0.0022118,-5.8846e-006,1.5243,1,0.01,49.5,49.5,-0.99
0.002438,0.002438,-6.473e-006,1.5243,1,0.011,49.5,49.5,-0.989
0.0026643,0.0026643,-7.0615e-006,1.5243,1,0.012,49.5,49.5,-0.988
0.0028906,0.0028906,-7.65e-006,1.5243,1,0.013,49.5,49.5,-0.987
0.0031168,0.0031168,-8.2384e-006,1.5243,1,0.014,49.5,49.5,-0.986
0.0033431,0.0033431,-8.8269e-006,1.5243,1,0.015,49.5,49.5,-0.985
0.0035694,0.0035694,-9.4153e-006,1.5243,1,0.016,49.5,49.5,-0.984
0.0037956,0.0037956,-1.0004e-005,1.5243,1,0.017,49.5,49.5,-0.983
0.0040219,0.0040219,-1.0592e-005,1.5243,1,0.018,49.5,49.5,-0.982
0.0042482,0.0042482,-1.1181e-005,1.5243,1,0.019,49.5,49.5,-0.981
0.0044744,0.0044744,-1.1769e-005,1.5243,1,0.02,49.5,49.5,-0.98
0.0047007,0.0047007,-1.2358e-005,1.5243,1,0.021,49.5,49.5,-0.979
0.004927,0.004927,-1.2946e-005,1.5243,1,0.022,49.5,49.5,-0.978
0.0051532,0.0051532,-1.3535e-005,1.5243,1,0.023,49.5,49.5,-0.977
0.0053795,0.0053795,-1.4123e-005,1.5243,1,0.024,49.5,49.5,-0.976
0.0056057,0.0056057,-1.4711e-005,1.5243,1,0.025,49.5,49.5,-0.975
0.005832,0.005832,-1.53e-005,1.5243,1,0.026,49.5,49.5,-0.974
0.0060583,0.0060583,-1.5888e-005,1.5243,1,0.027,49.5,49.5,-0.973
0.0062845,0.0062845,-1.6477e-005,1.5243,1,0.028,49.5,49.5,-0.972
0.0065108,0.0065108,-1.7065e-005,1.5243,1,0.029,49.5,49.5,-0.971
0.0067371,0.0067371,-1.7654e-005,1.5243,1,0.03,49.5,49.5,-0.97
0.0069633,0.0069633,-1.8242e-005,1.5243,1,0.031,49.5,49.5,-0.969
0.0071896,0.0071896,-1.8831e-005,1.5243,1,0.032,49.5,49.5,-0.968
0.0074159,0.0074159,-1.9419e-005,1.5243,1,0.033,49.5,49.5,-0.967
0.0076421,0.0076421,-2.0008e-005,1.5243,1,0.034,49.5,49.5,-0.966
0.0078684,0.0078684,-2.0596e-005,1.5243,1,0.035,49.5,49.5,-0.965
0.0080947,0.0080947,-2.1185e-005,1.5243,1,0.036,49.5,49.5,-0.964
0.0083209,0.0083209,-2.1773e-005,1.5243,1,0.037,49.5,49.5,-0.963
0.0085472,0.0085472,-2.2361e-005,1.5243,1,0.038,49.5,49.5,-0.962
0.0087734,0.0087734,-2.295e-005,1.5243,1,0.039,49.5,49.5,-0.961
0.0089997,0.0089997,-2.3538e-005,1.5243,1,0.04,49.5,49.5,-0.96
