"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00037251,-0.00037251,-9.478e-021,1.5212,1,0,49.5,49.5,-1
-0.00017961,-0.00017961,2.1342e-007,1.5212,1,0.00099999,49.5,49.5,-0.999
1.3291e-005,1.3291e-005,4.2685e-007,1.5212,1,0.002,49.5,49.5,-0.998
0.0002062,0.0002062,6.4028e-007,1.5212,1,0.003,49.5,49.5,-0.997
0.0003991,0.0003991,8.5371e-007,1.5212,1,0.004,49.5,49.5,-0.996
0.000592,0.000592,1.0671e-006,1.5212,1,0.005,49.5,49.5,-0.995
0.0007849,0.0007849,1.2806e-006,1.5212,1,0.006,49.5,49.5,-0.994
0.00097781,0.00097781,1.494e-006,1.5212,1,0.007,49.5,49.5,-0.993
0.0011707,0.0011707,1.7074e-006,1.5212,1,0.008,49.5,49.5,-0.992
0.0013636,0.0013636,1.9208e-006,1.5212,1,0.009,49.5,49.5,-0.991
0.0015565,0.0015565,2.1343e-006,1.5212,1,0.01,49.5,49.5,-0.99
0.0017494,0.0017494,2.3477e-006,1.5212,1,0.011,49.5,49.5,-0.989
0.0019423,0.0019423,2.5611e-006,1.5212,1,0.012,49.5,49.5,-0.988
0.0021352,0.0021352,2.7745e-006,1.5212,1,0.013,49.5,49.5,-0.987
0.0023281,0.0023281,2.988e-006,1.5212,1,0.014,49.5,49.5,-0.986
0.002521,0.002521,3.2014e-006,1.5212,1,0.015,49.5,49.5,-0.985
0.0027139,0.0027139,3.4148e-006,1.5212,1,0.016,49.5,49.5,-0.984
0.0029068,0.0029068,3.6282e-006,1.5212,1,0.017,49.5,49.5,-0.983
0.0030997,0.0030997,3.8417e-006,1.5212,1,0.018,49.5,49.5,-0.982
0.0032926,0.0032926,4.0551e-006,1.5212,1,0.019,49.5,49.5,-0.981
0.0034855,0.0034855,4.2685e-006,1.5212,1,0.02,49.5,49.5,-0.98
0.0036784,0.0036784,4.482e-006,1.5212,1,0.021,49.5,49.5,-0.979
0.0038713,0.0038713,4.6954e-006,1.5212,1,0.022,49.5,49.5,-0.978
0.0040642,0.0040642,4.9088e-006,1.5212,1,0.023,49.5,49.5,-0.977
0.0042571,0.0042571,5.1222e-006,1.5212,1,0.024,49.5,49.5,-0.976
0.00445,0.00445,5.3356e-006,1.5212,1,0.025,49.5,49.5,-0.975
0.0046429,0.0046429,5.5491e-006,1.5212,1,0.026,49.5,49.5,-0.974
0.0048358,0.0048358,5.7625e-006,1.5212,1,0.027,49.5,49.5,-0.973
