"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00037311,-0.00037311,-6.7963e-021,1.5215,1,0,49.5,49.5,-1
-0.00017657,-0.00017657,1.5304e-007,1.5215,1,0.00099999,49.5,49.5,-0.999
1.9966e-005,1.9966e-005,3.0607e-007,1.5215,1,0.002,49.5,49.5,-0.998
0.00021652,0.00021652,4.5912e-007,1.5215,1,0.003,49.5,49.5,-0.997
0.00041306,0.00041306,6.1216e-007,1.5215,1,0.004,49.5,49.5,-0.996
0.0006096,0.0006096,7.6519e-007,1.5215,1,0.005,49.5,49.5,-0.995
0.00080614,0.00080614,9.1823e-007,1.5215,1,0.006,49.5,49.5,-0.994
0.0010027,0.0010027,1.0713e-006,1.5215,1,0.007,49.5,49.5,-0.993
0.0011992,0.0011992,1.2243e-006,1.5215,1,0.008,49.5,49.5,-0.992
0.0013958,0.0013958,1.3773e-006,1.5215,1,0.009,49.5,49.5,-0.991
0.0015923,0.0015923,1.5304e-006,1.5215,1,0.01,49.5,49.5,-0.99
0.0017888,0.0017888,1.6834e-006,1.5215,1,0.011,49.5,49.5,-0.989
0.0019854,0.0019854,1.8365e-006,1.5215,1,0.012,49.5,49.5,-0.988
0.0021819,0.0021819,1.9895e-006,1.5215,1,0.013,49.5,49.5,-0.987
0.0023785,0.0023785,2.1425e-006,1.5215,1,0.014,49.5,49.5,-0.986
0.002575,0.002575,2.2956e-006,1.5215,1,0.015,49.5,49.5,-0.985
0.0027716,0.0027716,2.4486e-006,1.5215,1,0.016,49.5,49.5,-0.984
0.0029681,0.0029681,2.6017e-006,1.5215,1,0.017,49.5,49.5,-0.983
0.0031646,0.0031646,2.7547e-006,1.5215,1,0.018,49.5,49.5,-0.982
0.0033612,0.0033612,2.9077e-006,1.5215,1,0.019,49.5,49.5,-0.981
0.0035577,0.0035577,3.0608e-006,1.5215,1,0.02,49.5,49.5,-0.98
0.0037543,0.0037543,3.2138e-006,1.5215,1,0.021,49.5,49.5,-0.979
0.0039508,0.0039508,3.3669e-006,1.5215,1,0.022,49.5,49.5,-0.978
0.0041474,0.0041474,3.5199e-006,1.5215,1,0.023,49.5,49.5,-0.977
0.0043439,0.0043439,3.6729e-006,1.5215,1,0.024,49.5,49.5,-0.976
0.0045404,0.0045404,3.826e-006,1.5215,1,0.025,49.5,49.5,-0.975
0.004737,0.004737,3.979e-006,1.5215,1,0.026,49.5,49.5,-0.974
0.0049335,0.0049335,4.132e-006,1.5215,1,0.027,49.5,49.5,-0.973
0.0051301,0.0051301,4.2851e-006,1.5215,1,0.028,49.5,49.5,-0.972
0.0053266,0.0053266,4.4381e-006,1.5215,1,0.029,49.5,49.5,-0.971
0.0055231,0.0055231,4.5912e-006,1.5215,1,0.03,49.5,49.5,-0.97
0.0057197,0.0057197,4.7442e-006,1.5215,1,0.031,49.5,49.5,-0.969
0.0059162,0.0059162,4.8972e-006,1.5215,1,0.032,49.5,49.5,-0.968
0.0061128,0.0061128,5.0503e-006,1.5215,1,0.033,49.5,49.5,-0.967
0.0063093,0.0063093,5.2033e-006,1.5215,1,0.034,49.5,49.5,-0.966
0.0065059,0.0065059,5.3564e-006,1.5215,1,0.035,49.5,49.5,-0.965
0.0067024,0.0067024,5.5094e-006,1.5215,1,0.036,49.5,49.5,-0.964
0.0068989,0.0068989,5.6624e-006,1.5215,1,0.037,49.5,49.5,-0.963
0.0070955,0.0070955,5.8155e-006,1.5215,1,0.038,49.5,49.5,-0.962
0.007292,0.007292,5.9685e-006,1.5215,1,0.039,49.5,49.5,-0.961
0.0074886,0.0074886,6.1216e-006,1.5215,1,0.04,49.5,49.5,-0.96
0.0076851,0.0076851,6.2746e-006,1.5215,1,0.041,49.5,49.5,-0.959
0.0078817,0.0078817,6.4276e-006,1.5215,1,0.042,49.5,49.5,-0.958
0.0080782,0.0080782,6.5807e-006,1.5215,1,0.043,49.5,49.5,-0.957
0.0082747,0.0082747,6.7337e-006,1.5215,1,0.044,49.5,49.5,-0.956
0.0084713,0.0084713,6.8867e-006,1.5215,1,0.045,49.5,49.5,-0.955
0.0086678,0.0086678,7.0398e-006,1.5215,1,0.046,49.5,49.5,-0.954
0.0088644,0.0088644,7.1928e-006,1.5215,1,0.047,49.5,49.5,-0.953
0.0090609,0.0090609,7.3459e-006,1.5215,1,0.048,49.5,49.5,-0.952
0.0092575,0.0092575,7.4989e-006,1.5215,1,0.049,49.5,49.5,-0.951
0.009454,0.009454,7.6519e-006,1.5215,1,0.05,49.5,49.5,-0.95
0.0096505,0.0096505,7.805e-006,1.5215,1,0.051,49.5,49.5,-0.949
0.0098471,0.0098471,7.958e-006,1.5215,1,0.052,49.5,49.5,-0.948
0.010044,0.010044,8.111e-006,1.5215,1,0.053,49.5,49.5,-0.947
0.01024,0.01024,8.2641e-006,1.5215,1,0.054,49.5,49.5,-0.946
0.010437,0.010437,8.4171e-006,1.5215,1,0.055,49.5,49.5,-0.945
0.010633,0.010633,8.5702e-006,1.5215,1,0.056,49.5,49.5,-0.944
0.01083,0.01083,8.7232e-006,1.5215,1,0.057,49.5,49.5,-0.943
0.011026,0.011026,8.8762e-006,1.5215,1,0.058,49.5,49.5,-0.942
0.011223,0.011223,9.0293e-006,1.5215,1,0.059,49.5,49.5,-0.941
0.011419,0.011419,9.1823e-006,1.5215,1,0.06,49.5,49.5,-0.94
0.011616,0.011616,9.3354e-006,1.5215,1,0.061,49.5,49.5,-0.939
0.011812,0.011812,9.4884e-006,1.5215,1,0.062,49.5,49.5,-0.938
0.012009,0.012009,9.6414e-006,1.5215,1,0.063,49.5,49.5,-0.937
0.012206,0.012206,9.7945e-006,1.5215,1,0.064,49.5,49.5,-0.936
0.012402,0.012402,9.9475e-006,1.5215,1,0.065,49.5,49.5,-0.935
0.012599,0.012599,1.0101e-005,1.5215,1,0.066,49.5,49.5,-0.934
0.012795,0.012795,1.0254e-005,1.5215,1,0.067,49.5,49.5,-0.933
0.012992,0.012992,1.0407e-005,1.5215,1,0.068,49.5,49.5,-0.932
0.013188,0.013188,1.056e-005,1.5215,1,0.069,49.5,49.5,-0.931
0.013385,0.013385,1.0713e-005,1.5215,1,0.07,49.5,49.5,-0.93
0.013581,0.013581,1.0866e-005,1.5215,1,0.071,49.5,49.5,-0.929
0.013778,0.013778,1.1019e-005,1.5215,1,0.072,49.5,49.5,-0.928
0.013974,0.013974,1.1172e-005,1.5215,1,0.073,49.5,49.5,-0.927
0.014171,0.014171,1.1325e-005,1.5215,1,0.074,49.5,49.5,-0.926
0.014368,0.014368,1.1478e-005,1.5215,1,0.075,49.5,49.5,-0.925
0.014564,0.014564,1.1631e-005,1.5215,1,0.076,49.5,49.5,-0.924
0.014761,0.014761,1.1784e-005,1.5215,1,0.077,49.5,49.5,-0.923
0.014957,0.014957,1.1937e-005,1.5215,1,0.078,49.5,49.5,-0.922
0.015154,0.015154,1.209e-005,1.5215,1,0.079,49.5,49.5,-0.921
0.01535,0.01535,1.2243e-005,1.5215,1,0.08,49.5,49.5,-0.92
0.015547,0.015547,1.2396e-005,1.5215,1,0.081,49.5,49.5,-0.919
0.015743,0.015743,1.2549e-005,1.5215,1,0.082,49.5,49.5,-0.918
0.01594,0.01594,1.2702e-005,1.5215,1,0.083,49.5,49.5,-0.917
