"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.9643e-006,2.9643e-006,2.8726e-020,1.5244,1,0,49.5,49.5,-1
0.00023034,0.00023034,-6.4684e-007,1.5244,1,0.00099999,49.5,49.5,-0.999
0.00045771,0.00045771,-1.2937e-006,1.5244,1,0.002,49.5,49.5,-0.998
0.00068509,0.00068509,-1.9406e-006,1.5244,1,0.003,49.5,49.5,-0.997
0.00091246,0.00091246,-2.5874e-006,1.5244,1,0.004,49.5,49.5,-0.996
0.0011398,0.0011398,-3.2343e-006,1.5244,1,0.005,49.5,49.5,-0.995
0.0013672,0.0013672,-3.8811e-006,1.5244,1,0.006,49.5,49.5,-0.994
0.0015946,0.0015946,-4.528e-006,1.5244,1,0.007,49.5,49.5,-0.993
0.001822,0.001822,-5.1748e-006,1.5244,1,0.008,49.5,49.5,-0.992
0.0020493,0.0020493,-5.8217e-006,1.5244,1,0.009,49.5,49.5,-0.991
0.0022767,0.0022767,-6.4685e-006,1.5244,1,0.01,49.5,49.5,-0.99
0.0025041,0.0025041,-7.1154e-006,1.5244,1,0.011,49.5,49.5,-0.989
0.0027315,0.0027315,-7.7622e-006,1.5244,1,0.012,49.5,49.5,-0.988
0.0029588,0.0029588,-8.4091e-006,1.5244,1,0.013,49.5,49.5,-0.987
0.0031862,0.0031862,-9.0559e-006,1.5244,1,0.014,49.5,49.5,-0.986
0.0034136,0.0034136,-9.7028e-006,1.5244,1,0.015,49.5,49.5,-0.985
0.0036409,0.0036409,-1.035e-005,1.5244,1,0.016,49.5,49.5,-0.984
0.0038683,0.0038683,-1.0996e-005,1.5244,1,0.017,49.5,49.5,-0.983
0.0040957,0.0040957,-1.1643e-005,1.5244,1,0.018,49.5,49.5,-0.982
0.0043231,0.0043231,-1.229e-005,1.5244,1,0.019,49.5,49.5,-0.981
0.0045504,0.0045504,-1.2937e-005,1.5244,1,0.02,49.5,49.5,-0.98
0.0047778,0.0047778,-1.3584e-005,1.5244,1,0.021,49.5,49.5,-0.979
0.0050052,0.0050052,-1.4231e-005,1.5244,1,0.022,49.5,49.5,-0.978
0.0052326,0.0052326,-1.4878e-005,1.5244,1,0.023,49.5,49.5,-0.977
0.0054599,0.0054599,-1.5524e-005,1.5244,1,0.024,49.5,49.5,-0.976
0.0056873,0.0056873,-1.6171e-005,1.5244,1,0.025,49.5,49.5,-0.975
0.0059147,0.0059147,-1.6818e-005,1.5244,1,0.026,49.5,49.5,-0.974
0.0061421,0.0061421,-1.7465e-005,1.5244,1,0.027,49.5,49.5,-0.973
0.0063694,0.0063694,-1.8112e-005,1.5244,1,0.028,49.5,49.5,-0.972
0.0065968,0.0065968,-1.8759e-005,1.5244,1,0.029,49.5,49.5,-0.971
0.0068242,0.0068242,-1.9406e-005,1.5244,1,0.03,49.5,49.5,-0.97
0.0070516,0.0070516,-2.0052e-005,1.5244,1,0.031,49.5,49.5,-0.969
0.0072789,0.0072789,-2.0699e-005,1.5244,1,0.032,49.5,49.5,-0.968
0.0075063,0.0075063,-2.1346e-005,1.5244,1,0.033,49.5,49.5,-0.967
0.0077337,0.0077337,-2.1993e-005,1.5244,1,0.034,49.5,49.5,-0.966
0.0079611,0.0079611,-2.264e-005,1.5244,1,0.035,49.5,49.5,-0.965
0.0081884,0.0081884,-2.3287e-005,1.5244,1,0.036,49.5,49.5,-0.964
0.0084158,0.0084158,-2.3934e-005,1.5244,1,0.037,49.5,49.5,-0.963
0.0086432,0.0086432,-2.458e-005,1.5244,1,0.038,49.5,49.5,-0.962
0.0088705,0.0088705,-2.5227e-005,1.5244,1,0.039,49.5,49.5,-0.961
0.0090979,0.0090979,-2.5874e-005,1.5244,1,0.04,49.5,49.5,-0.96
0.0093253,0.0093253,-2.6521e-005,1.5244,1,0.041,49.5,49.5,-0.959
0.0095527,0.0095527,-2.7168e-005,1.5244,1,0.042,49.5,49.5,-0.958
0.00978,0.00978,-2.7815e-005,1.5244,1,0.043,49.5,49.5,-0.957
0.010007,0.010007,-2.8462e-005,1.5244,1,0.044,49.5,49.5,-0.956
0.010235,0.010235,-2.9108e-005,1.5244,1,0.045,49.5,49.5,-0.955
0.010462,0.010462,-2.9755e-005,1.5244,1,0.046,49.5,49.5,-0.954
0.01069,0.01069,-3.0402e-005,1.5244,1,0.047,49.5,49.5,-0.953
0.010917,0.010917,-3.1049e-005,1.5244,1,0.048,49.5,49.5,-0.952
0.011144,0.011144,-3.1696e-005,1.5244,1,0.049,49.5,49.5,-0.951
0.011372,0.011372,-3.2343e-005,1.5244,1,0.05,49.5,49.5,-0.95
0.011599,0.011599,-3.2989e-005,1.5244,1,0.051,49.5,49.5,-0.949
0.011826,0.011826,-3.3636e-005,1.5244,1,0.052,49.5,49.5,-0.948
0.012054,0.012054,-3.4283e-005,1.5244,1,0.053,49.5,49.5,-0.947
0.012281,0.012281,-3.493e-005,1.5244,1,0.054,49.5,49.5,-0.946
0.012509,0.012509,-3.5577e-005,1.5244,1,0.055,49.5,49.5,-0.945
0.012736,0.012736,-3.6224e-005,1.5244,1,0.056,49.5,49.5,-0.944
0.012963,0.012963,-3.6871e-005,1.5244,1,0.057,49.5,49.5,-0.943
0.013191,0.013191,-3.7517e-005,1.5244,1,0.058,49.5,49.5,-0.942
0.013418,0.013418,-3.8164e-005,1.5244,1,0.059,49.5,49.5,-0.941
0.013645,0.013645,-3.8811e-005,1.5244,1,0.06,49.5,49.5,-0.94
0.013873,0.013873,-3.9458e-005,1.5244,1,0.061,49.5,49.5,-0.939
0.0141,0.0141,-4.0105e-005,1.5244,1,0.062,49.5,49.5,-0.938
0.014328,0.014328,-4.0752e-005,1.5244,1,0.063,49.5,49.5,-0.937
0.014555,0.014555,-4.1399e-005,1.5244,1,0.064,49.5,49.5,-0.936
0.014782,0.014782,-4.2045e-005,1.5244,1,0.065,49.5,49.5,-0.935
