"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00016866,-0.00016866,-4.4496e-020,1.516,1,0,49.5,49.5,-1
-4.0597e-005,-4.0597e-005,1.0019e-006,1.516,1,0.00099999,49.5,49.5,-0.999
8.7467e-005,8.7467e-005,2.0039e-006,1.516,1,0.002,49.5,49.5,-0.998
0.00021554,0.00021554,3.0059e-006,1.516,1,0.003,49.5,49.5,-0.997
0.0003436,0.0003436,4.0078e-006,1.516,1,0.004,49.5,49.5,-0.996
0.00047167,0.00047167,5.0098e-006,1.516,1,0.005,49.5,49.5,-0.995
0.00059973,0.00059973,6.0117e-006,1.516,1,0.006,49.5,49.5,-0.994
0.0007278,0.0007278,7.0137e-006,1.516,1,0.007,49.5,49.5,-0.993
0.00085587,0.00085587,8.0157e-006,1.516,1,0.008,49.5,49.5,-0.992
0.00098393,0.00098393,9.0176e-006,1.516,1,0.009,49.5,49.5,-0.991
0.001112,0.001112,1.002e-005,1.516,1,0.01,49.5,49.5,-0.99
0.0012401,0.0012401,1.1022e-005,1.516,1,0.011,49.5,49.5,-0.989
0.0013681,0.0013681,1.2024e-005,1.516,1,0.012,49.5,49.5,-0.988
0.0014962,0.0014962,1.3025e-005,1.516,1,0.013,49.5,49.5,-0.987
0.0016243,0.0016243,1.4027e-005,1.516,1,0.014,49.5,49.5,-0.986
0.0017523,0.0017523,1.5029e-005,1.516,1,0.015,49.5,49.5,-0.985
0.0018804,0.0018804,1.6031e-005,1.516,1,0.016,49.5,49.5,-0.984
0.0020085,0.0020085,1.7033e-005,1.516,1,0.017,49.5,49.5,-0.983
0.0021365,0.0021365,1.8035e-005,1.516,1,0.018,49.5,49.5,-0.982
0.0022646,0.0022646,1.9037e-005,1.516,1,0.019,49.5,49.5,-0.981
0.0023927,0.0023927,2.0039e-005,1.516,1,0.02,49.5,49.5,-0.98
0.0025207,0.0025207,2.1041e-005,1.516,1,0.021,49.5,49.5,-0.979
0.0026488,0.0026488,2.2043e-005,1.516,1,0.022,49.5,49.5,-0.978
0.0027768,0.0027768,2.3045e-005,1.516,1,0.023,49.5,49.5,-0.977
0.0029049,0.0029049,2.4047e-005,1.516,1,0.024,49.5,49.5,-0.976
0.003033,0.003033,2.5049e-005,1.516,1,0.025,49.5,49.5,-0.975
0.003161,0.003161,2.6051e-005,1.516,1,0.026,49.5,49.5,-0.974
0.0032891,0.0032891,2.7053e-005,1.516,1,0.027,49.5,49.5,-0.973
0.0034172,0.0034172,2.8055e-005,1.516,1,0.028,49.5,49.5,-0.972
0.0035452,0.0035452,2.9057e-005,1.516,1,0.029,49.5,49.5,-0.971
0.0036733,0.0036733,3.0059e-005,1.516,1,0.03,49.5,49.5,-0.97
0.0038014,0.0038014,3.1061e-005,1.516,1,0.031,49.5,49.5,-0.969
0.0039294,0.0039294,3.2063e-005,1.516,1,0.032,49.5,49.5,-0.968
0.0040575,0.0040575,3.3065e-005,1.516,1,0.033,49.5,49.5,-0.967
0.0041856,0.0041856,3.4067e-005,1.516,1,0.034,49.5,49.5,-0.966
0.0043136,0.0043136,3.5069e-005,1.516,1,0.035,49.5,49.5,-0.965
0.0044417,0.0044417,3.6071e-005,1.516,1,0.036,49.5,49.5,-0.964
0.0045698,0.0045698,3.7072e-005,1.516,1,0.037,49.5,49.5,-0.963
0.0046978,0.0046978,3.8074e-005,1.516,1,0.038,49.5,49.5,-0.962
0.0048259,0.0048259,3.9076e-005,1.516,1,0.039,49.5,49.5,-0.961
0.004954,0.004954,4.0078e-005,1.516,1,0.04,49.5,49.5,-0.96
0.005082,0.005082,4.108e-005,1.516,1,0.041,49.5,49.5,-0.959
0.0052101,0.0052101,4.2082e-005,1.516,1,0.042,49.5,49.5,-0.958
0.0053382,0.0053382,4.3084e-005,1.516,1,0.043,49.5,49.5,-0.957
0.0054662,0.0054662,4.4086e-005,1.516,1,0.044,49.5,49.5,-0.956
0.0055943,0.0055943,4.5088e-005,1.516,1,0.045,49.5,49.5,-0.955
0.0057224,0.0057224,4.609e-005,1.516,1,0.046,49.5,49.5,-0.954
0.0058504,0.0058504,4.7092e-005,1.516,1,0.047,49.5,49.5,-0.953
0.0059785,0.0059785,4.8094e-005,1.516,1,0.048,49.5,49.5,-0.952
0.0061066,0.0061066,4.9096e-005,1.516,1,0.049,49.5,49.5,-0.951
0.0062346,0.0062346,5.0098e-005,1.516,1,0.05,49.5,49.5,-0.95
0.0063627,0.0063627,5.11e-005,1.516,1,0.051,49.5,49.5,-0.949
0.0064908,0.0064908,5.2102e-005,1.516,1,0.052,49.5,49.5,-0.948
0.0066188,0.0066188,5.3104e-005,1.516,1,0.053,49.5,49.5,-0.947
0.0067469,0.0067469,5.4106e-005,1.516,1,0.054,49.5,49.5,-0.946
0.006875,0.006875,5.5108e-005,1.516,1,0.055,49.5,49.5,-0.945
0.007003,0.007003,5.611e-005,1.516,1,0.056,49.5,49.5,-0.944
0.0071311,0.0071311,5.7112e-005,1.516,1,0.057,49.5,49.5,-0.943
0.0072592,0.0072592,5.8114e-005,1.516,1,0.058,49.5,49.5,-0.942
0.0073872,0.0073872,5.9116e-005,1.516,1,0.059,49.5,49.5,-0.941
0.0075153,0.0075153,6.0117e-005,1.516,1,0.06,49.5,49.5,-0.94
0.0076433,0.0076433,6.1119e-005,1.516,1,0.061,49.5,49.5,-0.939
