"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00011623,-0.00011623,2.2646e-020,1.5241,1,0,49.5,49.5,-1
0.00010824,0.00010824,-5.0993e-007,1.5241,1,0.00099999,49.5,49.5,-0.999
0.00033271,0.00033271,-1.0199e-006,1.5241,1,0.002,49.5,49.5,-0.998
0.0005572,0.0005572,-1.5298e-006,1.5241,1,0.003,49.5,49.5,-0.997
0.00078167,0.00078167,-2.0398e-006,1.5241,1,0.004,49.5,49.5,-0.996
0.0010061,0.0010061,-2.5497e-006,1.5241,1,0.005,49.5,49.5,-0.995
0.0012306,0.0012306,-3.0596e-006,1.5241,1,0.006,49.5,49.5,-0.994
0.0014551,0.0014551,-3.5696e-006,1.5241,1,0.007,49.5,49.5,-0.993
0.0016796,0.0016796,-4.0795e-006,1.5241,1,0.008,49.5,49.5,-0.992
0.001904,0.001904,-4.5894e-006,1.5241,1,0.009,49.5,49.5,-0.991
0.0021285,0.0021285,-5.0994e-006,1.5241,1,0.01,49.5,49.5,-0.99
0.002353,0.002353,-5.6093e-006,1.5241,1,0.011,49.5,49.5,-0.989
0.0025775,0.0025775,-6.1193e-006,1.5241,1,0.012,49.5,49.5,-0.988
0.0028019,0.0028019,-6.6292e-006,1.5241,1,0.013,49.5,49.5,-0.987
0.0030264,0.0030264,-7.1391e-006,1.5241,1,0.014,49.5,49.5,-0.986
0.0032509,0.0032509,-7.649e-006,1.5241,1,0.015,49.5,49.5,-0.985
0.0034753,0.0034753,-8.159e-006,1.5241,1,0.016,49.5,49.5,-0.984
0.0036998,0.0036998,-8.6689e-006,1.5241,1,0.017,49.5,49.5,-0.983
0.0039243,0.0039243,-9.1789e-006,1.5241,1,0.018,49.5,49.5,-0.982
0.0041488,0.0041488,-9.6888e-006,1.5241,1,0.019,49.5,49.5,-0.981
0.0043732,0.0043732,-1.0199e-005,1.5241,1,0.02,49.5,49.5,-0.98
0.0045977,0.0045977,-1.0709e-005,1.5241,1,0.021,49.5,49.5,-0.979
0.0048222,0.0048222,-1.1219e-005,1.5241,1,0.022,49.5,49.5,-0.978
0.0050467,0.0050467,-1.1729e-005,1.5241,1,0.023,49.5,49.5,-0.977
0.0052711,0.0052711,-1.2238e-005,1.5241,1,0.024,49.5,49.5,-0.976
0.0054956,0.0054956,-1.2748e-005,1.5241,1,0.025,49.5,49.5,-0.975
0.0057201,0.0057201,-1.3258e-005,1.5241,1,0.026,49.5,49.5,-0.974
0.0059445,0.0059445,-1.3768e-005,1.5241,1,0.027,49.5,49.5,-0.973
0.006169,0.006169,-1.4278e-005,1.5241,1,0.028,49.5,49.5,-0.972
0.0063935,0.0063935,-1.4788e-005,1.5241,1,0.029,49.5,49.5,-0.971
0.006618,0.006618,-1.5298e-005,1.5241,1,0.03,49.5,49.5,-0.97
0.0068424,0.0068424,-1.5808e-005,1.5241,1,0.031,49.5,49.5,-0.969
0.0070669,0.0070669,-1.6318e-005,1.5241,1,0.032,49.5,49.5,-0.968
0.0072914,0.0072914,-1.6828e-005,1.5241,1,0.033,49.5,49.5,-0.967
0.0075159,0.0075159,-1.7338e-005,1.5241,1,0.034,49.5,49.5,-0.966
0.0077403,0.0077403,-1.7848e-005,1.5241,1,0.035,49.5,49.5,-0.965
0.0079648,0.0079648,-1.8358e-005,1.5241,1,0.036,49.5,49.5,-0.964
0.0081893,0.0081893,-1.8868e-005,1.5241,1,0.037,49.5,49.5,-0.963
0.0084137,0.0084137,-1.9378e-005,1.5241,1,0.038,49.5,49.5,-0.962
0.0086382,0.0086382,-1.9888e-005,1.5241,1,0.039,49.5,49.5,-0.961
0.0088627,0.0088627,-2.0397e-005,1.5241,1,0.04,49.5,49.5,-0.96
0.0090872,0.0090872,-2.0907e-005,1.5241,1,0.041,49.5,49.5,-0.959
0.0093116,0.0093116,-2.1417e-005,1.5241,1,0.042,49.5,49.5,-0.958
0.0095361,0.0095361,-2.1927e-005,1.5241,1,0.043,49.5,49.5,-0.957
0.0097606,0.0097606,-2.2437e-005,1.5241,1,0.044,49.5,49.5,-0.956
