"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00036807,-0.00036807,-3.2118e-021,1.5219,1,0,49.5,49.5,-1
-0.00016695,-0.00016695,7.2323e-008,1.5219,1,0.00099999,49.5,49.5,-0.999
3.4174e-005,3.4174e-005,1.4465e-007,1.5219,1,0.002,49.5,49.5,-0.998
0.00023531,0.00023531,2.1697e-007,1.5219,1,0.003,49.5,49.5,-0.997
0.00043643,0.00043643,2.893e-007,1.5219,1,0.004,49.5,49.5,-0.996
0.00063755,0.00063755,3.6162e-007,1.5219,1,0.005,49.5,49.5,-0.995
0.00083868,0.00083868,4.3394e-007,1.5219,1,0.006,49.5,49.5,-0.994
0.0010398,0.0010398,5.0627e-007,1.5219,1,0.007,49.5,49.5,-0.993
0.0012409,0.0012409,5.7859e-007,1.5219,1,0.008,49.5,49.5,-0.992
0.0014421,0.0014421,6.5092e-007,1.5219,1,0.009,49.5,49.5,-0.991
0.0016432,0.0016432,7.2324e-007,1.5219,1,0.01,49.5,49.5,-0.99
0.0018443,0.0018443,7.9556e-007,1.5219,1,0.011,49.5,49.5,-0.989
0.0020454,0.0020454,8.6789e-007,1.5219,1,0.012,49.5,49.5,-0.988
0.0022466,0.0022466,9.4021e-007,1.5219,1,0.013,49.5,49.5,-0.987
0.0024477,0.0024477,1.0125e-006,1.5219,1,0.014,49.5,49.5,-0.986
0.0026488,0.0026488,1.0849e-006,1.5219,1,0.015,49.5,49.5,-0.985
0.0028499,0.0028499,1.1572e-006,1.5219,1,0.016,49.5,49.5,-0.984
0.0030511,0.0030511,1.2295e-006,1.5219,1,0.017,49.5,49.5,-0.983
0.0032522,0.0032522,1.3018e-006,1.5219,1,0.018,49.5,49.5,-0.982
0.0034533,0.0034533,1.3742e-006,1.5219,1,0.019,49.5,49.5,-0.981
0.0036544,0.0036544,1.4465e-006,1.5219,1,0.02,49.5,49.5,-0.98
0.0038556,0.0038556,1.5188e-006,1.5219,1,0.021,49.5,49.5,-0.979
0.0040567,0.0040567,1.5911e-006,1.5219,1,0.022,49.5,49.5,-0.978
0.0042578,0.0042578,1.6635e-006,1.5219,1,0.023,49.5,49.5,-0.977
0.0044589,0.0044589,1.7358e-006,1.5219,1,0.024,49.5,49.5,-0.976
0.0046601,0.0046601,1.8081e-006,1.5219,1,0.025,49.5,49.5,-0.975
0.0048612,0.0048612,1.8804e-006,1.5219,1,0.026,49.5,49.5,-0.974
0.0050623,0.0050623,1.9527e-006,1.5219,1,0.027,49.5,49.5,-0.973
0.0052634,0.0052634,2.0251e-006,1.5219,1,0.028,49.5,49.5,-0.972
0.0054646,0.0054646,2.0974e-006,1.5219,1,0.029,49.5,49.5,-0.971
0.0056657,0.0056657,2.1697e-006,1.5219,1,0.03,49.5,49.5,-0.97
