"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00015353,-0.00015353,-3.8019e-020,1.5172,1,0,49.5,49.5,-1
-1.0898e-005,-1.0898e-005,8.5611e-007,1.5172,1,0.00099999,49.5,49.5,-0.999
0.00013173,0.00013173,1.7122e-006,1.5172,1,0.002,49.5,49.5,-0.998
0.00027437,0.00027437,2.5684e-006,1.5172,1,0.003,49.5,49.5,-0.997
0.00041701,0.00041701,3.4245e-006,1.5172,1,0.004,49.5,49.5,-0.996
0.00055964,0.00055964,4.2806e-006,1.5172,1,0.005,49.5,49.5,-0.995
0.00070227,0.00070227,5.1367e-006,1.5172,1,0.006,49.5,49.5,-0.994
0.00084491,0.00084491,5.9929e-006,1.5172,1,0.007,49.5,49.5,-0.993
0.00098754,0.00098754,6.849e-006,1.5172,1,0.008,49.5,49.5,-0.992
0.0011302,0.0011302,7.7051e-006,1.5172,1,0.009,49.5,49.5,-0.991
0.0012728,0.0012728,8.5612e-006,1.5172,1,0.01,49.5,49.5,-0.99
0.0014154,0.0014154,9.4173e-006,1.5172,1,0.011,49.5,49.5,-0.989
0.0015581,0.0015581,1.0273e-005,1.5172,1,0.012,49.5,49.5,-0.988
0.0017007,0.0017007,1.113e-005,1.5172,1,0.013,49.5,49.5,-0.987
0.0018433,0.0018433,1.1986e-005,1.5172,1,0.014,49.5,49.5,-0.986
0.001986,0.001986,1.2842e-005,1.5172,1,0.015,49.5,49.5,-0.985
0.0021286,0.0021286,1.3698e-005,1.5172,1,0.016,49.5,49.5,-0.984
0.0022712,0.0022712,1.4554e-005,1.5172,1,0.017,49.5,49.5,-0.983
0.0024139,0.0024139,1.541e-005,1.5172,1,0.018,49.5,49.5,-0.982
0.0025565,0.0025565,1.6266e-005,1.5172,1,0.019,49.5,49.5,-0.981
0.0026991,0.0026991,1.7122e-005,1.5172,1,0.02,49.5,49.5,-0.98
0.0028418,0.0028418,1.7979e-005,1.5172,1,0.021,49.5,49.5,-0.979
0.0029844,0.0029844,1.8835e-005,1.5172,1,0.022,49.5,49.5,-0.978
0.003127,0.003127,1.9691e-005,1.5172,1,0.023,49.5,49.5,-0.977
0.0032697,0.0032697,2.0547e-005,1.5172,1,0.024,49.5,49.5,-0.976
0.0034123,0.0034123,2.1403e-005,1.5172,1,0.025,49.5,49.5,-0.975
0.003555,0.003555,2.2259e-005,1.5172,1,0.026,49.5,49.5,-0.974
0.0036976,0.0036976,2.3115e-005,1.5172,1,0.027,49.5,49.5,-0.973
0.0038402,0.0038402,2.3971e-005,1.5172,1,0.028,49.5,49.5,-0.972
0.0039828,0.0039828,2.4828e-005,1.5172,1,0.029,49.5,49.5,-0.971
0.0041255,0.0041255,2.5684e-005,1.5172,1,0.03,49.5,49.5,-0.97
0.0042681,0.0042681,2.654e-005,1.5172,1,0.031,49.5,49.5,-0.969
0.0044108,0.0044108,2.7396e-005,1.5172,1,0.032,49.5,49.5,-0.968
0.0045534,0.0045534,2.8252e-005,1.5172,1,0.033,49.5,49.5,-0.967
0.004696,0.004696,2.9108e-005,1.5172,1,0.034,49.5,49.5,-0.966
0.0048387,0.0048387,2.9964e-005,1.5172,1,0.035,49.5,49.5,-0.965
0.0049813,0.0049813,3.082e-005,1.5172,1,0.036,49.5,49.5,-0.964
0.0051239,0.0051239,3.1677e-005,1.5172,1,0.037,49.5,49.5,-0.963
0.0052666,0.0052666,3.2533e-005,1.5172,1,0.038,49.5,49.5,-0.962
0.0054092,0.0054092,3.3389e-005,1.5172,1,0.039,49.5,49.5,-0.961
0.0055518,0.0055518,3.4245e-005,1.5172,1,0.04,49.5,49.5,-0.96
0.0056945,0.0056945,3.5101e-005,1.5172,1,0.041,49.5,49.5,-0.959
0.0058371,0.0058371,3.5957e-005,1.5172,1,0.042,49.5,49.5,-0.958
0.0059797,0.0059797,3.6813e-005,1.5172,1,0.043,49.5,49.5,-0.957
0.0061224,0.0061224,3.7669e-005,1.5172,1,0.044,49.5,49.5,-0.956
0.006265,0.006265,3.8526e-005,1.5172,1,0.045,49.5,49.5,-0.955
0.0064076,0.0064076,3.9382e-005,1.5172,1,0.046,49.5,49.5,-0.954
0.0065503,0.0065503,4.0238e-005,1.5172,1,0.047,49.5,49.5,-0.953
0.0066929,0.0066929,4.1094e-005,1.5172,1,0.048,49.5,49.5,-0.952
0.0068355,0.0068355,4.195e-005,1.5172,1,0.049,49.5,49.5,-0.951
0.0069782,0.0069782,4.2806e-005,1.5172,1,0.05,49.5,49.5,-0.95
0.0071208,0.0071208,4.3662e-005,1.5172,1,0.051,49.5,49.5,-0.949
0.0072634,0.0072634,4.4518e-005,1.5172,1,0.052,49.5,49.5,-0.948
0.0074061,0.0074061,4.5374e-005,1.5172,1,0.053,49.5,49.5,-0.947
