"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00035975,-0.00035975,-5.1947e-022,1.5222,1,0,49.5,49.5,-1
-0.0001554,-0.0001554,1.1697e-008,1.5222,1,0.00099999,49.5,49.5,-0.999
4.8954e-005,4.8954e-005,2.3395e-008,1.5222,1,0.002,49.5,49.5,-0.998
0.00025332,0.00025332,3.5092e-008,1.5222,1,0.003,49.5,49.5,-0.997
0.00045767,0.00045767,4.679e-008,1.5222,1,0.004,49.5,49.5,-0.996
0.00066202,0.00066202,5.8487e-008,1.5222,1,0.005,49.5,49.5,-0.995
0.00086638,0.00086638,7.0184e-008,1.5222,1,0.006,49.5,49.5,-0.994
0.0010707,0.0010707,8.1882e-008,1.5222,1,0.007,49.5,49.5,-0.993
0.0012751,0.0012751,9.3579e-008,1.5222,1,0.008,49.5,49.5,-0.992
0.0014794,0.0014794,1.0528e-007,1.5222,1,0.009,49.5,49.5,-0.991
0.0016838,0.0016838,1.1697e-007,1.5222,1,0.01,49.5,49.5,-0.99
0.0018882,0.0018882,1.2867e-007,1.5222,1,0.011,49.5,49.5,-0.989
0.0020925,0.0020925,1.4037e-007,1.5222,1,0.012,49.5,49.5,-0.988
0.0022969,0.0022969,1.5207e-007,1.5222,1,0.013,49.5,49.5,-0.987
0.0025012,0.0025012,1.6376e-007,1.5222,1,0.014,49.5,49.5,-0.986
0.0027056,0.0027056,1.7546e-007,1.5222,1,0.015,49.5,49.5,-0.985
0.0029099,0.0029099,1.8716e-007,1.5222,1,0.016,49.5,49.5,-0.984
0.0031143,0.0031143,1.9886e-007,1.5222,1,0.017,49.5,49.5,-0.983
0.0033186,0.0033186,2.1055e-007,1.5222,1,0.018,49.5,49.5,-0.982
0.003523,0.003523,2.2225e-007,1.5222,1,0.019,49.5,49.5,-0.981
0.0037273,0.0037273,2.3395e-007,1.5222,1,0.02,49.5,49.5,-0.98
0.0039317,0.0039317,2.4565e-007,1.5222,1,0.021,49.5,49.5,-0.979
0.0041361,0.0041361,2.5734e-007,1.5222,1,0.022,49.5,49.5,-0.978
0.0043404,0.0043404,2.6904e-007,1.5222,1,0.023,49.5,49.5,-0.977
0.0045448,0.0045448,2.8074e-007,1.5222,1,0.024,49.5,49.5,-0.976
0.0047491,0.0047491,2.9243e-007,1.5222,1,0.025,49.5,49.5,-0.975
0.0049535,0.0049535,3.0413e-007,1.5222,1,0.026,49.5,49.5,-0.974
0.0051578,0.0051578,3.1583e-007,1.5222,1,0.027,49.5,49.5,-0.973
0.0053622,0.0053622,3.2753e-007,1.5222,1,0.028,49.5,49.5,-0.972
0.0055665,0.0055665,3.3922e-007,1.5222,1,0.029,49.5,49.5,-0.971
0.0057709,0.0057709,3.5092e-007,1.5222,1,0.03,49.5,49.5,-0.97
0.0059753,0.0059753,3.6262e-007,1.5222,1,0.031,49.5,49.5,-0.969
0.0061796,0.0061796,3.7432e-007,1.5222,1,0.032,49.5,49.5,-0.968
0.006384,0.006384,3.8601e-007,1.5222,1,0.033,49.5,49.5,-0.967
0.0065883,0.0065883,3.9771e-007,1.5222,1,0.034,49.5,49.5,-0.966
0.0067927,0.0067927,4.0941e-007,1.5222,1,0.035,49.5,49.5,-0.965
0.006997,0.006997,4.2111e-007,1.5222,1,0.036,49.5,49.5,-0.964
0.0072014,0.0072014,4.328e-007,1.5222,1,0.037,49.5,49.5,-0.963
0.0074057,0.0074057,4.445e-007,1.5222,1,0.038,49.5,49.5,-0.962
0.0076101,0.0076101,4.562e-007,1.5222,1,0.039,49.5,49.5,-0.961
0.0078145,0.0078145,4.679e-007,1.5222,1,0.04,49.5,49.5,-0.96
0.0080188,0.0080188,4.7959e-007,1.5222,1,0.041,49.5,49.5,-0.959
0.0082232,0.0082232,4.9129e-007,1.5222,1,0.042,49.5,49.5,-0.958
0.0084275,0.0084275,5.0299e-007,1.5222,1,0.043,49.5,49.5,-0.957
0.0086319,0.0086319,5.1469e-007,1.5222,1,0.044,49.5,49.5,-0.956
0.0088362,0.0088362,5.2638e-007,1.5222,1,0.045,49.5,49.5,-0.955
0.0090406,0.0090406,5.3808e-007,1.5222,1,0.046,49.5,49.5,-0.954
0.0092449,0.0092449,5.4978e-007,1.5222,1,0.047,49.5,49.5,-0.953
0.0094493,0.0094493,5.6148e-007,1.5222,1,0.048,49.5,49.5,-0.952
0.0096537,0.0096537,5.7317e-007,1.5222,1,0.049,49.5,49.5,-0.951
0.009858,0.009858,5.8487e-007,1.5222,1,0.05,49.5,49.5,-0.95
0.010062,0.010062,5.9657e-007,1.5222,1,0.051,49.5,49.5,-0.949
0.010267,0.010267,6.0826e-007,1.5222,1,0.052,49.5,49.5,-0.948
0.010471,0.010471,6.1996e-007,1.5222,1,0.053,49.5,49.5,-0.947
0.010675,0.010675,6.3166e-007,1.5222,1,0.054,49.5,49.5,-0.946
0.01088,0.01088,6.4336e-007,1.5222,1,0.055,49.5,49.5,-0.945
0.011084,0.011084,6.5505e-007,1.5222,1,0.056,49.5,49.5,-0.944
0.011288,0.011288,6.6675e-007,1.5222,1,0.057,49.5,49.5,-0.943
0.011493,0.011493,6.7845e-007,1.5222,1,0.058,49.5,49.5,-0.942
0.011697,0.011697,6.9015e-007,1.5222,1,0.059,49.5,49.5,-0.941
0.011902,0.011902,7.0184e-007,1.5222,1,0.06,49.5,49.5,-0.94
0.012106,0.012106,7.1354e-007,1.5222,1,0.061,49.5,49.5,-0.939
0.01231,0.01231,7.2524e-007,1.5222,1,0.062,49.5,49.5,-0.938
0.012515,0.012515,7.3694e-007,1.5222,1,0.063,49.5,49.5,-0.937
0.012719,0.012719,7.4863e-007,1.5222,1,0.064,49.5,49.5,-0.936
0.012923,0.012923,7.6033e-007,1.5222,1,0.065,49.5,49.5,-0.935
0.013128,0.013128,7.7203e-007,1.5222,1,0.066,49.5,49.5,-0.934
0.013332,0.013332,7.8373e-007,1.5222,1,0.067,49.5,49.5,-0.933
0.013536,0.013536,7.9542e-007,1.5222,1,0.068,49.5,49.5,-0.932
0.013741,0.013741,8.0712e-007,1.5222,1,0.069,49.5,49.5,-0.931
0.013945,0.013945,8.1882e-007,1.5222,1,0.07,49.5,49.5,-0.93
0.014149,0.014149,8.3052e-007,1.5222,1,0.071,49.5,49.5,-0.929
0.014354,0.014354,8.4221e-007,1.5222,1,0.072,49.5,49.5,-0.928
0.014558,0.014558,8.5391e-007,1.5222,1,0.073,49.5,49.5,-0.927
0.014763,0.014763,8.6561e-007,1.5222,1,0.074,49.5,49.5,-0.926
0.014967,0.014967,8.7731e-007,1.5222,1,0.075,49.5,49.5,-0.925
0.015171,0.015171,8.89e-007,1.5222,1,0.076,49.5,49.5,-0.924
0.015376,0.015376,9.007e-007,1.5222,1,0.077,49.5,49.5,-0.923
0.01558,0.01558,9.124e-007,1.5222,1,0.078,49.5,49.5,-0.922
0.015784,0.015784,9.2409e-007,1.5222,1,0.079,49.5,49.5,-0.921
0.015989,0.015989,9.3579e-007,1.5222,1,0.08,49.5,49.5,-0.92
0.016193,0.016193,9.4749e-007,1.5222,1,0.081,49.5,49.5,-0.919
0.016397,0.016397,9.5919e-007,1.5222,1,0.082,49.5,49.5,-0.918
0.016602,0.016602,9.7088e-007,1.5222,1,0.083,49.5,49.5,-0.917
0.016806,0.016806,9.8258e-007,1.5222,1,0.084,49.5,49.5,-0.916
0.01701,0.01701,9.9428e-007,1.5222,1,0.085,49.5,49.5,-0.915
0.017215,0.017215,1.006e-006,1.5222,1,0.086,49.5,49.5,-0.914
0.017419,0.017419,1.0177e-006,1.5222,1,0.087,49.5,49.5,-0.913
0.017624,0.017624,1.0294e-006,1.5222,1,0.088,49.5,49.5,-0.912
0.017828,0.017828,1.0411e-006,1.5222,1,0.089,49.5,49.5,-0.911
0.018032,0.018032,1.0528e-006,1.5222,1,0.09,49.5,49.5,-0.91
0.018237,0.018237,1.0645e-006,1.5222,1,0.091,49.5,49.5,-0.909
0.018441,0.018441,1.0762e-006,1.5222,1,0.092,49.5,49.5,-0.908
0.018645,0.018645,1.0879e-006,1.5222,1,0.093,49.5,49.5,-0.907
0.01885,0.01885,1.0996e-006,1.5222,1,0.094,49.5,49.5,-0.906
0.019054,0.019054,1.1113e-006,1.5222,1,0.095,49.5,49.5,-0.905
0.019258,0.019258,1.123e-006,1.5222,1,0.096,49.5,49.5,-0.904
0.019463,0.019463,1.1346e-006,1.5222,1,0.097,49.5,49.5,-0.903
0.019667,0.019667,1.1463e-006,1.5222,1,0.098,49.5,49.5,-0.902
0.019871,0.019871,1.158e-006,1.5222,1,0.099,49.5,49.5,-0.901
0.020076,0.020076,1.1697e-006,1.5222,1,0.1,49.5,49.5,-0.9
