"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.5433e-005,-1.5433e-005,2.7864e-020,1.5244,1,0,49.5,49.5,-1
0.00021159,0.00021159,-6.2743e-007,1.5244,1,0.00099999,49.5,49.5,-0.999
0.00043861,0.00043861,-1.2549e-006,1.5244,1,0.002,49.5,49.5,-0.998
0.00066565,0.00066565,-1.8823e-006,1.5244,1,0.003,49.5,49.5,-0.997
0.00089267,0.00089267,-2.5098e-006,1.5244,1,0.004,49.5,49.5,-0.996
0.0011197,0.0011197,-3.1372e-006,1.5244,1,0.005,49.5,49.5,-0.995
0.0013467,0.0013467,-3.7646e-006,1.5244,1,0.006,49.5,49.5,-0.994
0.0015738,0.0015738,-4.3921e-006,1.5244,1,0.007,49.5,49.5,-0.993
0.0018008,0.0018008,-5.0195e-006,1.5244,1,0.008,49.5,49.5,-0.992
0.0020278,0.0020278,-5.647e-006,1.5244,1,0.009,49.5,49.5,-0.991
0.0022548,0.0022548,-6.2744e-006,1.5244,1,0.01,49.5,49.5,-0.99
0.0024819,0.0024819,-6.9018e-006,1.5244,1,0.011,49.5,49.5,-0.989
0.0027089,0.0027089,-7.5293e-006,1.5244,1,0.012,49.5,49.5,-0.988
0.0029359,0.0029359,-8.1567e-006,1.5244,1,0.013,49.5,49.5,-0.987
0.0031629,0.0031629,-8.7841e-006,1.5244,1,0.014,49.5,49.5,-0.986
0.00339,0.00339,-9.4116e-006,1.5244,1,0.015,49.5,49.5,-0.985
0.003617,0.003617,-1.0039e-005,1.5244,1,0.016,49.5,49.5,-0.984
0.003844,0.003844,-1.0666e-005,1.5244,1,0.017,49.5,49.5,-0.983
0.004071,0.004071,-1.1294e-005,1.5244,1,0.018,49.5,49.5,-0.982
0.0042981,0.0042981,-1.1921e-005,1.5244,1,0.019,49.5,49.5,-0.981
0.0045251,0.0045251,-1.2549e-005,1.5244,1,0.02,49.5,49.5,-0.98
0.0047521,0.0047521,-1.3176e-005,1.5244,1,0.021,49.5,49.5,-0.979
0.0049792,0.0049792,-1.3804e-005,1.5244,1,0.022,49.5,49.5,-0.978
0.0052062,0.0052062,-1.4431e-005,1.5244,1,0.023,49.5,49.5,-0.977
0.0054332,0.0054332,-1.5059e-005,1.5244,1,0.024,49.5,49.5,-0.976
0.0056602,0.0056602,-1.5686e-005,1.5244,1,0.025,49.5,49.5,-0.975
0.0058873,0.0058873,-1.6313e-005,1.5244,1,0.026,49.5,49.5,-0.974
0.0061143,0.0061143,-1.6941e-005,1.5244,1,0.027,49.5,49.5,-0.973
0.0063413,0.0063413,-1.7568e-005,1.5244,1,0.028,49.5,49.5,-0.972
0.0065683,0.0065683,-1.8196e-005,1.5244,1,0.029,49.5,49.5,-0.971
0.0067954,0.0067954,-1.8823e-005,1.5244,1,0.03,49.5,49.5,-0.97
0.0070224,0.0070224,-1.9451e-005,1.5244,1,0.031,49.5,49.5,-0.969
0.0072494,0.0072494,-2.0078e-005,1.5244,1,0.032,49.5,49.5,-0.968
0.0074764,0.0074764,-2.0705e-005,1.5244,1,0.033,49.5,49.5,-0.967
0.0077035,0.0077035,-2.1333e-005,1.5244,1,0.034,49.5,49.5,-0.966
0.0079305,0.0079305,-2.196e-005,1.5244,1,0.035,49.5,49.5,-0.965
0.0081575,0.0081575,-2.2588e-005,1.5244,1,0.036,49.5,49.5,-0.964
0.0083845,0.0083845,-2.3215e-005,1.5244,1,0.037,49.5,49.5,-0.963
0.0086116,0.0086116,-2.3843e-005,1.5244,1,0.038,49.5,49.5,-0.962
0.0088386,0.0088386,-2.447e-005,1.5244,1,0.039,49.5,49.5,-0.961
0.0090656,0.0090656,-2.5098e-005,1.5244,1,0.04,49.5,49.5,-0.96
0.0092927,0.0092927,-2.5725e-005,1.5244,1,0.041,49.5,49.5,-0.959
0.0095197,0.0095197,-2.6352e-005,1.5244,1,0.042,49.5,49.5,-0.958
0.0097467,0.0097467,-2.698e-005,1.5244,1,0.043,49.5,49.5,-0.957
0.0099737,0.0099737,-2.7607e-005,1.5244,1,0.044,49.5,49.5,-0.956
0.010201,0.010201,-2.8235e-005,1.5244,1,0.045,49.5,49.5,-0.955
0.010428,0.010428,-2.8862e-005,1.5244,1,0.046,49.5,49.5,-0.954
0.010655,0.010655,-2.949e-005,1.5244,1,0.047,49.5,49.5,-0.953
0.010882,0.010882,-3.0117e-005,1.5244,1,0.048,49.5,49.5,-0.952
0.011109,0.011109,-3.0745e-005,1.5244,1,0.049,49.5,49.5,-0.951
0.011336,0.011336,-3.1372e-005,1.5244,1,0.05,49.5,49.5,-0.95
0.011563,0.011563,-3.1999e-005,1.5244,1,0.051,49.5,49.5,-0.949
0.01179,0.01179,-3.2627e-005,1.5244,1,0.052,49.5,49.5,-0.948
0.012017,0.012017,-3.3254e-005,1.5244,1,0.053,49.5,49.5,-0.947
0.012244,0.012244,-3.3882e-005,1.5244,1,0.054,49.5,49.5,-0.946
0.012471,0.012471,-3.4509e-005,1.5244,1,0.055,49.5,49.5,-0.945
0.012698,0.012698,-3.5137e-005,1.5244,1,0.056,49.5,49.5,-0.944
0.012925,0.012925,-3.5764e-005,1.5244,1,0.057,49.5,49.5,-0.943
0.013152,0.013152,-3.6391e-005,1.5244,1,0.058,49.5,49.5,-0.942
0.013379,0.013379,-3.7019e-005,1.5244,1,0.059,49.5,49.5,-0.941
0.013606,0.013606,-3.7646e-005,1.5244,1,0.06,49.5,49.5,-0.94
0.013833,0.013833,-3.8274e-005,1.5244,1,0.061,49.5,49.5,-0.939
0.01406,0.01406,-3.8901e-005,1.5244,1,0.062,49.5,49.5,-0.938
0.014287,0.014287,-3.9529e-005,1.5244,1,0.063,49.5,49.5,-0.937
0.014514,0.014514,-4.0156e-005,1.5244,1,0.064,49.5,49.5,-0.936
0.014741,0.014741,-4.0784e-005,1.5244,1,0.065,49.5,49.5,-0.935
0.014968,0.014968,-4.1411e-005,1.5244,1,0.066,49.5,49.5,-0.934
0.015195,0.015195,-4.2038e-005,1.5244,1,0.067,49.5,49.5,-0.933
0.015422,0.015422,-4.2666e-005,1.5244,1,0.068,49.5,49.5,-0.932
0.015649,0.015649,-4.3293e-005,1.5244,1,0.069,49.5,49.5,-0.931
0.015876,0.015876,-4.3921e-005,1.5244,1,0.07,49.5,49.5,-0.93
0.016103,0.016103,-4.4548e-005,1.5244,1,0.071,49.5,49.5,-0.929
