"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00036575,-0.00036575,-2.3146e-021,1.522,1,0,49.5,49.5,-1
-0.00016353,-0.00016353,5.212e-008,1.522,1,0.00099999,49.5,49.5,-0.999
3.869e-005,3.869e-005,1.0424e-007,1.522,1,0.002,49.5,49.5,-0.998
0.00024092,0.00024092,1.5636e-007,1.522,1,0.003,49.5,49.5,-0.997
0.00044314,0.00044314,2.0848e-007,1.522,1,0.004,49.5,49.5,-0.996
0.00064536,0.00064536,2.606e-007,1.522,1,0.005,49.5,49.5,-0.995
0.00084758,0.00084758,3.1272e-007,1.522,1,0.006,49.5,49.5,-0.994
0.0010498,0.0010498,3.6485e-007,1.522,1,0.007,49.5,49.5,-0.993
0.001252,0.001252,4.1697e-007,1.522,1,0.008,49.5,49.5,-0.992
0.0014542,0.0014542,4.6909e-007,1.522,1,0.009,49.5,49.5,-0.991
0.0016565,0.0016565,5.2121e-007,1.522,1,0.01,49.5,49.5,-0.99
0.0018587,0.0018587,5.7333e-007,1.522,1,0.011,49.5,49.5,-0.989
0.0020609,0.0020609,6.2545e-007,1.522,1,0.012,49.5,49.5,-0.988
0.0022631,0.0022631,6.7757e-007,1.522,1,0.013,49.5,49.5,-0.987
0.0024654,0.0024654,7.2969e-007,1.522,1,0.014,49.5,49.5,-0.986
0.0026676,0.0026676,7.8181e-007,1.522,1,0.015,49.5,49.5,-0.985
0.0028698,0.0028698,8.3393e-007,1.522,1,0.016,49.5,49.5,-0.984
0.003072,0.003072,8.8606e-007,1.522,1,0.017,49.5,49.5,-0.983
0.0032742,0.0032742,9.3818e-007,1.522,1,0.018,49.5,49.5,-0.982
0.0034765,0.0034765,9.903e-007,1.522,1,0.019,49.5,49.5,-0.981
0.0036787,0.0036787,1.0424e-006,1.522,1,0.02,49.5,49.5,-0.98
0.0038809,0.0038809,1.0945e-006,1.522,1,0.021,49.5,49.5,-0.979
0.0040831,0.0040831,1.1467e-006,1.522,1,0.022,49.5,49.5,-0.978
0.0042854,0.0042854,1.1988e-006,1.522,1,0.023,49.5,49.5,-0.977
0.0044876,0.0044876,1.2509e-006,1.522,1,0.024,49.5,49.5,-0.976
0.0046898,0.0046898,1.303e-006,1.522,1,0.025,49.5,49.5,-0.975
0.004892,0.004892,1.3551e-006,1.522,1,0.026,49.5,49.5,-0.974
