"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00032549,-0.00032549,-2.2728e-020,1.5195,1,0,49.5,49.5,-1
-0.00015326,-0.00015326,5.1178e-007,1.5195,1,0.00099999,49.5,49.5,-0.999
1.8981e-005,1.8981e-005,1.0236e-006,1.5195,1,0.002,49.5,49.5,-0.998
0.00019123,0.00019123,1.5354e-006,1.5195,1,0.003,49.5,49.5,-0.997
0.00036346,0.00036346,2.0471e-006,1.5195,1,0.004,49.5,49.5,-0.996
0.0005357,0.0005357,2.5589e-006,1.5195,1,0.005,49.5,49.5,-0.995
0.00070793,0.00070793,3.0707e-006,1.5195,1,0.006,49.5,49.5,-0.994
0.00088018,0.00088018,3.5825e-006,1.5195,1,0.007,49.5,49.5,-0.993
0.0010524,0.0010524,4.0943e-006,1.5195,1,0.008,49.5,49.5,-0.992
0.0012247,0.0012247,4.606e-006,1.5195,1,0.009,49.5,49.5,-0.991
0.0013969,0.0013969,5.1178e-006,1.5195,1,0.01,49.5,49.5,-0.99
0.0015691,0.0015691,5.6296e-006,1.5195,1,0.011,49.5,49.5,-0.989
0.0017414,0.0017414,6.1414e-006,1.5195,1,0.012,49.5,49.5,-0.988
0.0019136,0.0019136,6.6532e-006,1.5195,1,0.013,49.5,49.5,-0.987
0.0020858,0.0020858,7.165e-006,1.5195,1,0.014,49.5,49.5,-0.986
0.0022581,0.0022581,7.6767e-006,1.5195,1,0.015,49.5,49.5,-0.985
0.0024303,0.0024303,8.1885e-006,1.5195,1,0.016,49.5,49.5,-0.984
0.0026026,0.0026026,8.7003e-006,1.5195,1,0.017,49.5,49.5,-0.983
0.0027748,0.0027748,9.2121e-006,1.5195,1,0.018,49.5,49.5,-0.982
0.002947,0.002947,9.7239e-006,1.5195,1,0.019,49.5,49.5,-0.981
0.0031193,0.0031193,1.0236e-005,1.5195,1,0.02,49.5,49.5,-0.98
0.0032915,0.0032915,1.0747e-005,1.5195,1,0.021,49.5,49.5,-0.979
0.0034638,0.0034638,1.1259e-005,1.5195,1,0.022,49.5,49.5,-0.978
0.003636,0.003636,1.1771e-005,1.5195,1,0.023,49.5,49.5,-0.977
0.0038082,0.0038082,1.2283e-005,1.5195,1,0.024,49.5,49.5,-0.976
0.0039805,0.0039805,1.2795e-005,1.5195,1,0.025,49.5,49.5,-0.975
0.0041527,0.0041527,1.3306e-005,1.5195,1,0.026,49.5,49.5,-0.974
0.0043249,0.0043249,1.3818e-005,1.5195,1,0.027,49.5,49.5,-0.973
0.0044972,0.0044972,1.433e-005,1.5195,1,0.028,49.5,49.5,-0.972
0.0046694,0.0046694,1.4842e-005,1.5195,1,0.029,49.5,49.5,-0.971
0.0048417,0.0048417,1.5353e-005,1.5195,1,0.03,49.5,49.5,-0.97
0.0050139,0.0050139,1.5865e-005,1.5195,1,0.031,49.5,49.5,-0.969
0.0051861,0.0051861,1.6377e-005,1.5195,1,0.032,49.5,49.5,-0.968
0.0053584,0.0053584,1.6889e-005,1.5195,1,0.033,49.5,49.5,-0.967
0.0055306,0.0055306,1.7401e-005,1.5195,1,0.034,49.5,49.5,-0.966
0.0057029,0.0057029,1.7912e-005,1.5195,1,0.035,49.5,49.5,-0.965
0.0058751,0.0058751,1.8424e-005,1.5195,1,0.036,49.5,49.5,-0.964
0.0060473,0.0060473,1.8936e-005,1.5195,1,0.037,49.5,49.5,-0.963
0.0062196,0.0062196,1.9448e-005,1.5195,1,0.038,49.5,49.5,-0.962
0.0063918,0.0063918,1.9959e-005,1.5195,1,0.039,49.5,49.5,-0.961
0.006564,0.006564,2.0471e-005,1.5195,1,0.04,49.5,49.5,-0.96
0.0067363,0.0067363,2.0983e-005,1.5195,1,0.041,49.5,49.5,-0.959
0.0069085,0.0069085,2.1495e-005,1.5195,1,0.042,49.5,49.5,-0.958
0.0070807,0.0070807,2.2007e-005,1.5195,1,0.043,49.5,49.5,-0.957
0.007253,0.007253,2.2518e-005,1.5195,1,0.044,49.5,49.5,-0.956
0.0074252,0.0074252,2.303e-005,1.5195,1,0.045,49.5,49.5,-0.955
0.0075975,0.0075975,2.3542e-005,1.5195,1,0.046,49.5,49.5,-0.954
0.0077697,0.0077697,2.4054e-005,1.5195,1,0.047,49.5,49.5,-0.953
0.0079419,0.0079419,2.4566e-005,1.5195,1,0.048,49.5,49.5,-0.952
0.0081142,0.0081142,2.5077e-005,1.5195,1,0.049,49.5,49.5,-0.951
0.0082864,0.0082864,2.5589e-005,1.5195,1,0.05,49.5,49.5,-0.95
0.0084587,0.0084587,2.6101e-005,1.5195,1,0.051,49.5,49.5,-0.949
0.0086309,0.0086309,2.6613e-005,1.5195,1,0.052,49.5,49.5,-0.948
0.0088031,0.0088031,2.7124e-005,1.5195,1,0.053,49.5,49.5,-0.947
0.0089754,0.0089754,2.7636e-005,1.5195,1,0.054,49.5,49.5,-0.946
0.0091476,0.0091476,2.8148e-005,1.5195,1,0.055,49.5,49.5,-0.945
0.0093198,0.0093198,2.866e-005,1.5195,1,0.056,49.5,49.5,-0.944
0.0094921,0.0094921,2.9172e-005,1.5195,1,0.057,49.5,49.5,-0.943
0.0096643,0.0096643,2.9683e-005,1.5195,1,0.058,49.5,49.5,-0.942
0.0098366,0.0098366,3.0195e-005,1.5195,1,0.059,49.5,49.5,-0.941
0.010009,0.010009,3.0707e-005,1.5195,1,0.06,49.5,49.5,-0.94
0.010181,0.010181,3.1219e-005,1.5195,1,0.061,49.5,49.5,-0.939
0.010353,0.010353,3.173e-005,1.5195,1,0.062,49.5,49.5,-0.938
