"hu","hv","omega","h","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00023609,-0.00023609,-3.302e-020,1.518,1,0,49.5,49.5,-1
-8.3071e-005,-8.3071e-005,7.4352e-007,1.518,1,0.00099999,49.5,49.5,-0.999
6.995e-005,6.995e-005,1.487e-006,1.518,1,0.002,49.5,49.5,-0.998
0.00022298,0.00022298,2.2306e-006,1.518,1,0.003,49.5,49.5,-0.997
0.000376,0.000376,2.9741e-006,1.518,1,0.004,49.5,49.5,-0.996
0.00052902,0.00052902,3.7177e-006,1.518,1,0.005,49.5,49.5,-0.995
0.00068204,0.00068204,4.4612e-006,1.518,1,0.006,49.5,49.5,-0.994
0.00083507,0.00083507,5.2048e-006,1.518,1,0.007,49.5,49.5,-0.993
0.00098809,0.00098809,5.9483e-006,1.518,1,0.008,49.5,49.5,-0.992
0.0011411,0.0011411,6.6918e-006,1.518,1,0.009,49.5,49.5,-0.991
0.0012941,0.0012941,7.4353e-006,1.518,1,0.01,49.5,49.5,-0.99
0.0014472,0.0014472,8.1789e-006,1.518,1,0.011,49.5,49.5,-0.989
0.0016002,0.0016002,8.9224e-006,1.518,1,0.012,49.5,49.5,-0.988
0.0017532,0.0017532,9.666e-006,1.518,1,0.013,49.5,49.5,-0.987
0.0019062,0.0019062,1.0409e-005,1.518,1,0.014,49.5,49.5,-0.986
0.0020592,0.0020592,1.1153e-005,1.518,1,0.015,49.5,49.5,-0.985
0.0022123,0.0022123,1.1897e-005,1.518,1,0.016,49.5,49.5,-0.984
0.0023653,0.0023653,1.264e-005,1.518,1,0.017,49.5,49.5,-0.983
0.0025183,0.0025183,1.3384e-005,1.518,1,0.018,49.5,49.5,-0.982
0.0026713,0.0026713,1.4127e-005,1.518,1,0.019,49.5,49.5,-0.981
0.0028244,0.0028244,1.4871e-005,1.518,1,0.02,49.5,49.5,-0.98
0.0029774,0.0029774,1.5614e-005,1.518,1,0.021,49.5,49.5,-0.979
0.0031304,0.0031304,1.6358e-005,1.518,1,0.022,49.5,49.5,-0.978
0.0032834,0.0032834,1.7101e-005,1.518,1,0.023,49.5,49.5,-0.977
0.0034364,0.0034364,1.7845e-005,1.518,1,0.024,49.5,49.5,-0.976
0.0035895,0.0035895,1.8588e-005,1.518,1,0.025,49.5,49.5,-0.975
0.0037425,0.0037425,1.9332e-005,1.518,1,0.026,49.5,49.5,-0.974
0.0038955,0.0038955,2.0075e-005,1.518,1,0.027,49.5,49.5,-0.973
0.0040485,0.0040485,2.0819e-005,1.518,1,0.028,49.5,49.5,-0.972
0.0042016,0.0042016,2.1562e-005,1.518,1,0.029,49.5,49.5,-0.971
0.0043546,0.0043546,2.2306e-005,1.518,1,0.03,49.5,49.5,-0.97
0.0045076,0.0045076,2.305e-005,1.518,1,0.031,49.5,49.5,-0.969
0.0046606,0.0046606,2.3793e-005,1.518,1,0.032,49.5,49.5,-0.968
0.0048136,0.0048136,2.4537e-005,1.518,1,0.033,49.5,49.5,-0.967
0.0049667,0.0049667,2.528e-005,1.518,1,0.034,49.5,49.5,-0.966
0.0051197,0.0051197,2.6024e-005,1.518,1,0.035,49.5,49.5,-0.965
0.0052727,0.0052727,2.6767e-005,1.518,1,0.036,49.5,49.5,-0.964
0.0054257,0.0054257,2.7511e-005,1.518,1,0.037,49.5,49.5,-0.963
0.0055788,0.0055788,2.8254e-005,1.518,1,0.038,49.5,49.5,-0.962
0.0057318,0.0057318,2.8998e-005,1.518,1,0.039,49.5,49.5,-0.961
0.0058848,0.0058848,2.9741e-005,1.518,1,0.04,49.5,49.5,-0.96
0.0060378,0.0060378,3.0485e-005,1.518,1,0.041,49.5,49.5,-0.959
0.0061909,0.0061909,3.1228e-005,1.518,1,0.042,49.5,49.5,-0.958
0.0063439,0.0063439,3.1972e-005,1.518,1,0.043,49.5,49.5,-0.957
0.0064969,0.0064969,3.2716e-005,1.518,1,0.044,49.5,49.5,-0.956
0.0066499,0.0066499,3.3459e-005,1.518,1,0.045,49.5,49.5,-0.955
0.0068029,0.0068029,3.4203e-005,1.518,1,0.046,49.5,49.5,-0.954
0.006956,0.006956,3.4946e-005,1.518,1,0.047,49.5,49.5,-0.953
0.007109,0.007109,3.569e-005,1.518,1,0.048,49.5,49.5,-0.952
0.007262,0.007262,3.6433e-005,1.518,1,0.049,49.5,49.5,-0.951
0.007415,0.007415,3.7177e-005,1.518,1,0.05,49.5,49.5,-0.95
