  3.80952381  1000.00000000
  7.61819164  1000.00008296
 11.42608664  1000.00018738
 15.23330297  1000.00029979
 19.03989211  1000.00039252
 22.84587318  1000.00046401
 26.65131098  1000.00051434
 30.45626549  1000.00055242
 34.26079270  1000.00058537
 38.06484758  1000.00061798
 41.86839083  1000.00065718
 45.67149015  1000.00070613
 49.47421167  1000.00075518
 53.27661549  1000.00080501
 57.07878193  1000.00086049
 60.88078352  1000.00092343
 64.68268226  1000.00099468
 68.48452290  1000.00107289
 72.28634130  1000.00115680
 76.08816041  1000.00124397
 79.88999571  1000.00133172
 83.69185265  1000.00141716
 87.49374314  1000.00149908
 91.29567731  1000.00157727
 95.09766288  1000.00165168
 98.89968611  1000.00172366
102.70165054  1000.00179412
106.50358672  1000.00186373
110.30552307  1000.00193399
114.10748136  1000.00200405
117.90947702  1000.00207495
121.71151646  1000.00214599
125.51360595  1000.00221708
129.31574823  1000.00228857
133.11792693  1000.00235993
136.92008822  1000.00243139
140.72224057  1000.00250361
144.52440279  1000.00257582
148.32657182  1000.00264775
